(iter 5) [0.0, 0.9453] = 113.1814, sampling [0.0, 0.9411]. Recommendation = [0.0, 0.9453], Current Cost = 57.74, Rho = -1.230
(iter 5) [0.0, 0.9453] = 113.1814, sampling [0.0, 0.9495]. Recommendation = [0.0, 0.9453], Current Cost = 69.28, Rho = -1.230
(iter 6) [0.0, 0.9495] = 113.1877, sampling [0.0, 0.9530]. Recommendation = [0.0, 0.9495], Current Cost = 80.83, Rho = -1.230
(iter 7) [0.0, 0.9530] = 113.1923, sampling [0.0, 0.9573]. Recommendation = [0.0, 0.9530], Current Cost = 92.38, Rho = -1.230
(iter 8) [0.0, 0.9573] = 113.1996, sampling [0.0, 0.9621]. Recommendation = [0.0, 0.9573], Current Cost = 103.93, Rho = -1.230
(iter 9) [0.0, 0.9621] = 113.2065, sampling [0.0, 0.9663]. Recommendation = [0.0, 0.9621], Current Cost = 115.47, Rho = -1.230
(iter 10) [0.0, 0.9663] = 113.2118, sampling [0.0, 0.9693]. Recommendation = [0.0, 0.9663], Current Cost = 127.02, Rho = -1.230
(iter 11) [0.0, 0.9693] = 113.2157, sampling [0.0, 0.9755]. Recommendation = [0.0, 0.9693], Current Cost = 138.57, Rho = -1.230
(iter 12) [0.0, 0.9755] = 113.2231, sampling [0.0, 0.9794]. Recommendation = [0.0, 0.9755], Current Cost = 150.12, Rho = -1.230
(iter 13) [0.0, 0.9794] = 113.2277, sampling [0.0, 0.9831]. Recommendation = [0.0, 0.9794], Current Cost = 161.66, Rho = -1.230
(iter 14) [0.0, 0.9831] = 113.2322, sampling [0.0, 0.9853]. Recommendation = [0.0, 0.9831], Current Cost = 173.21, Rho = -1.230
(iter 15) [0.0, 0.9853] = 113.2344, sampling [0.0, 0.9919]. Recommendation = [0.0, 0.9853], Current Cost = 184.76, Rho = -1.230
(iter 16) [0.0, 0.9919] = 113.2406, sampling [0.0, 0.9951]. Recommendation = [0.0, 0.9919], Current Cost = 196.31, Rho = -1.230
(iter 17) [0.0, 0.9951] = 113.2445, sampling [0.0, 0.9996]. Recommendation = [0.0, 0.9951], Current Cost = 207.85, Rho = -1.230
(iter 18) [0.0, 0.9996] = 113.2483, sampling [0.0, 1.0008]. Recommendation = [0.0, 0.9996], Current Cost = 219.40, Rho = -1.230
(iter 19) [0.0, 1.0008] = 113.2492, sampling [0.0, 1.0044]. Recommendation = [0.0, 1.0008], Current Cost = 230.95, Rho = -1.230
(iter 20) [0.0, 1.0044] = 113.2528, sampling [0.0, 1.0099]. Recommendation = [0.0, 1.0044], Current Cost = 242.50, Rho = -1.230
(iter 21) [0.0, 1.0099] = 113.2570, sampling [0.0, 1.0132]. Recommendation = [0.0, 1.0099], Current Cost = 254.04, Rho = -1.230
(iter 22) [0.0, 1.0132] = 113.2602, sampling [0.0, 1.0174]. Recommendation = [0.0, 1.0132], Current Cost = 265.59, Rho = -1.230
(iter 23) [0.0, 1.0174] = 113.2632, sampling [0.0, 1.0240]. Recommendation = [0.0, 1.0174], Current Cost = 277.14, Rho = -1.230
(iter 24) [0.0, 1.0240] = 113.2675, sampling [0.0, 1.0262]. Recommendation = [0.0, 1.0240], Current Cost = 288.69, Rho = -1.230
(iter 25) [0.0, 1.0262] = 113.2695, sampling [0.0, 1.0313]. Recommendation = [0.0, 1.0262], Current Cost = 300.23, Rho = -1.230
(iter 26) [0.0, 1.0313] = 113.2727, sampling [0.0, 1.0330]. Recommendation = [0.0, 1.0313], Current Cost = 311.78, Rho = -1.230
(iter 27) [0.0, 1.0330] = 113.2733, sampling [0.0, 1.0387]. Recommendation = [0.0, 1.0330], Current Cost = 323.33, Rho = -1.230
(iter 28) [0.0, 1.0387] = 113.2768, sampling [0.0, 1.0407]. Recommendation = [0.0, 1.0387], Current Cost = 334.88, Rho = -1.230
(iter 29) [0.0, 1.0407] = 113.2778, sampling [0.0, 1.0452]. Recommendation = [0.0, 1.0407], Current Cost = 346.42, Rho = -1.230
(iter 30) [0.0, 1.0452] = 113.2804, sampling [0.0, 1.0484]. Recommendation = [0.0, 1.0452], Current Cost = 357.97, Rho = -1.230
(iter 31) [0.0, 1.0484] = 113.2819, sampling [0.0, 1.0554]. Recommendation = [0.0, 1.0484], Current Cost = 369.52, Rho = -1.230
(iter 32) [0.0, 1.0554] = 113.2851, sampling [0.0, 1.0564]. Recommendation = [0.0, 1.0554], Current Cost = 381.07, Rho = -1.230
(iter 33) [0.0, 1.0564] = 113.2855, sampling [0.0, 1.0617]. Recommendation = [0.0, 1.0564], Current Cost = 392.61, Rho = -1.230
(iter 34) [0.0, 1.0617] = 113.2875, sampling [0.0, 1.0656]. Recommendation = [0.0, 1.0617], Current Cost = 404.16, Rho = -1.230
(iter 35) [0.0, 1.0656] = 113.2890, sampling [0.0, 1.0710]. Recommendation = [0.0, 1.0656], Current Cost = 415.71, Rho = -1.230
(iter 36) [0.0, 1.0710] = 113.2910, sampling [0.0, 1.0742]. Recommendation = [0.0, 1.0710], Current Cost = 427.26, Rho = -1.230
(iter 37) [0.0, 1.0742] = 113.2919, sampling [0.0, 1.0778]. Recommendation = [0.0, 1.0742], Current Cost = 438.80, Rho = -1.230
(iter 38) [0.0, 1.0778] = 113.2927, sampling [0.0, 1.0836]. Recommendation = [0.0, 1.0778], Current Cost = 450.35, Rho = -1.230
(iter 39) [0.0, 1.0836] = 113.2943, sampling [0.0, 1.0847]. Recommendation = [0.0, 1.0836], Current Cost = 461.90, Rho = -1.230
(iter 40) [0.0, 1.0847] = 113.2945, sampling [0.0, 1.0901]. Recommendation = [0.0, 1.0847], Current Cost = 473.45, Rho = -1.230
(iter 41) [0.0, 1.0901] = 113.2958, sampling [0.0, 1.0942]. Recommendation = [0.0, 1.0901], Current Cost = 484.99, Rho = -1.230
(iter 42) [0.0, 1.0942] = 113.2966, sampling [0.0, 1.0996]. Recommendation = [0.0, 1.0942], Current Cost = 496.54, Rho = -1.230
(iter 43) [0.0, 1.0996] = 113.2974, sampling [0.0, 1.1014]. Recommendation = [0.0, 1.0996], Current Cost = 508.09, Rho = -1.230
(iter 44) [0.0, 1.1014] = 113.2976, sampling [0.0, 1.1079]. Recommendation = [0.0, 1.1014], Current Cost = 519.64, Rho = -1.230
(iter 45) [0.0, 1.1079] = 113.2984, sampling [0.0, 1.1083]. Recommendation = [0.0, 1.1079], Current Cost = 531.18, Rho = -1.230
(iter 46) [0.0, 1.1083] = 113.2985, sampling [0.0, 1.1149]. Recommendation = [0.0, 1.1079], Current Cost = 542.73, Rho = -1.230
(iter 47) [0.0, 1.1149] = 113.2990, sampling [0.0, 1.1188]. Recommendation = [0.0, 1.1149], Current Cost = 554.28, Rho = -1.230
(iter 48) [0.0, 1.1188] = 113.2992, sampling [0.0, 1.1202]. Recommendation = [0.0, 1.1188], Current Cost = 565.83, Rho = -1.230
(iter 49) [0.0, 1.1202] = 113.2993, sampling [0.0, 1.1245]. Recommendation = [0.0, 1.1188], Current Cost = 577.37, Rho = -1.230
