(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1270]. Recommendation = [0.0, 1.0345], Current Cost = 75.44, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0858]. Recommendation = [0.0, 1.1270], Current Cost = 78.98, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2353]. Recommendation = [0.0, 1.1270], Current Cost = 82.51, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1810]. Recommendation = [0.0, 1.1270], Current Cost = 86.05, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3575]. Recommendation = [0.0, 1.1270], Current Cost = 89.59, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2911]. Recommendation = [0.0, 1.1270], Current Cost = 93.13, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4633]. Recommendation = [0.0, 1.1270], Current Cost = 96.67, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1536]. Recommendation = [0.0, 1.1270], Current Cost = 100.21, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2052]. Recommendation = [0.0, 1.1270], Current Cost = 103.75, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0614]. Recommendation = [0.0, 1.1270], Current Cost = 107.29, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1054]. Recommendation = [0.0, 1.1270], Current Cost = 110.83, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2609]. Recommendation = [0.0, 1.1270], Current Cost = 114.37, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4046]. Recommendation = [0.0, 1.1270], Current Cost = 117.91, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5326]. Recommendation = [0.0, 1.1270], Current Cost = 121.45, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3209]. Recommendation = [0.0, 1.1270], Current Cost = 124.99, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1665]. Recommendation = [0.0, 1.1270], Current Cost = 128.53, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1428]. Recommendation = [0.0, 1.1270], Current Cost = 132.07, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2213]. Recommendation = [0.0, 1.1428], Current Cost = 135.61, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.7804]. Recommendation = [0.0, 1.1428], Current Cost = 139.15, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1940]. Recommendation = [0.0, 1.1428], Current Cost = 142.69, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1187]. Recommendation = [0.0, 1.1428], Current Cost = 146.23, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0736]. Recommendation = [0.0, 1.1428], Current Cost = 149.77, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0954]. Recommendation = [0.0, 1.1428], Current Cost = 153.31, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0504]. Recommendation = [0.0, 1.1428], Current Cost = 156.85, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2471]. Recommendation = [0.0, 1.1428], Current Cost = 160.39, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2740]. Recommendation = [0.0, 1.1428], Current Cost = 163.93, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1361]. Recommendation = [0.0, 1.1428], Current Cost = 167.47, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.6925]. Recommendation = [0.0, 1.1428], Current Cost = 171.01, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3817]. Recommendation = [0.0, 1.1428], Current Cost = 174.55, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.9112]. Recommendation = [0.0, 1.1428], Current Cost = 178.08, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3396]. Recommendation = [0.0, 1.1428], Current Cost = 181.62, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3045]. Recommendation = [0.0, 1.1428], Current Cost = 185.16, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4359]. Recommendation = [0.0, 1.1428], Current Cost = 188.70, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1756]. Recommendation = [0.0, 1.1428], Current Cost = 192.24, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1595]. Recommendation = [0.0, 1.1428], Current Cost = 195.78, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2130]. Recommendation = [0.0, 1.1428], Current Cost = 199.32, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1137]. Recommendation = [0.0, 1.1428], Current Cost = 202.86, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5736]. Recommendation = [0.0, 1.1428], Current Cost = 206.40, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4952]. Recommendation = [0.0, 1.1428], Current Cost = 209.94, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1860]. Recommendation = [0.0, 1.1428], Current Cost = 213.48, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1484]. Recommendation = [0.0, 1.1428], Current Cost = 217.02, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0807]. Recommendation = [0.0, 1.1428], Current Cost = 220.56, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1309]. Recommendation = [0.0, 1.1428], Current Cost = 224.10, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1016]. Recommendation = [0.0, 1.1428], Current Cost = 227.64, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2301]. Recommendation = [0.0, 1.1428], Current Cost = 231.18, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0678]. Recommendation = [0.0, 1.1428], Current Cost = 234.72, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1091]. Recommendation = [0.0, 1.1428], Current Cost = 238.26, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0405]. Recommendation = [0.0, 1.1428], Current Cost = 241.80, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1972]. Recommendation = [0.0, 1.1428], Current Cost = 245.34, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2828]. Recommendation = [0.0, 1.1428], Current Cost = 248.88, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2529]. Recommendation = [0.0, 1.1428], Current Cost = 252.42, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2403]. Recommendation = [0.0, 1.1428], Current Cost = 255.96, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1894]. Recommendation = [0.0, 1.1428], Current Cost = 259.50, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1635]. Recommendation = [0.0, 1.1428], Current Cost = 263.04, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0557]. Recommendation = [0.0, 1.1428], Current Cost = 266.58, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0885]. Recommendation = [0.0, 1.1428], Current Cost = 270.12, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 2.2386]. Recommendation = [0.0, 1.1428], Current Cost = 273.65, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1209]. Recommendation = [0.0, 1.1428], Current Cost = 277.19, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2678]. Recommendation = [0.0, 1.1428], Current Cost = 280.73, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1685]. Recommendation = [0.0, 1.1428], Current Cost = 284.27, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2169]. Recommendation = [0.0, 1.1428], Current Cost = 287.81, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2252]. Recommendation = [0.0, 1.1428], Current Cost = 291.35, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0979]. Recommendation = [0.0, 1.1428], Current Cost = 294.89, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1330]. Recommendation = [0.0, 1.1428], Current Cost = 298.43, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3681]. Recommendation = [0.0, 1.1330], Current Cost = 301.97, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3309]. Recommendation = [0.0, 1.1330], Current Cost = 305.51, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3110]. Recommendation = [0.0, 1.1330], Current Cost = 309.05, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0453]. Recommendation = [0.0, 1.1330], Current Cost = 312.59, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2106]. Recommendation = [0.0, 1.1330], Current Cost = 316.13, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4213]. Recommendation = [0.0, 1.1330], Current Cost = 319.67, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0761]. Recommendation = [0.0, 1.1330], Current Cost = 323.21, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1444]. Recommendation = [0.0, 1.1330], Current Cost = 326.75, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2968]. Recommendation = [0.0, 1.1330], Current Cost = 330.29, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.8423]. Recommendation = [0.0, 1.1330], Current Cost = 333.83, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.9894]. Recommendation = [0.0, 1.1330], Current Cost = 337.37, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3496]. Recommendation = [0.0, 1.1330], Current Cost = 340.91, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0703]. Recommendation = [0.0, 1.1330], Current Cost = 344.45, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3920]. Recommendation = [0.0, 1.1330], Current Cost = 347.99, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2038]. Recommendation = [0.0, 1.1330], Current Cost = 351.53, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.6535]. Recommendation = [0.0, 1.1330], Current Cost = 355.07, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2581]. Recommendation = [0.0, 1.1330], Current Cost = 358.61, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2783]. Recommendation = [0.0, 1.1330], Current Cost = 362.15, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.7350]. Recommendation = [0.0, 1.1330], Current Cost = 365.69, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5131]. Recommendation = [0.0, 1.1330], Current Cost = 369.22, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5988]. Recommendation = [0.0, 1.1330], Current Cost = 372.76, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4763]. Recommendation = [0.0, 1.1330], Current Cost = 376.30, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4513]. Recommendation = [0.0, 1.1330], Current Cost = 379.84, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0573]. Recommendation = [0.0, 1.1330], Current Cost = 383.38, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0268]. Recommendation = [0.0, 1.1330], Current Cost = 386.92, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0312]. Recommendation = [0.0, 1.1330], Current Cost = 390.46, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5558]. Recommendation = [0.0, 1.1330], Current Cost = 394.00, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0164]. Recommendation = [0.0, 1.1330], Current Cost = 397.54, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0237]. Recommendation = [0.0, 1.1330], Current Cost = 401.08, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3156]. Recommendation = [0.0, 1.1330], Current Cost = 404.62, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2385]. Recommendation = [0.0, 1.1330], Current Cost = 408.16, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0070]. Recommendation = [0.0, 1.1330], Current Cost = 411.70, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0112]. Recommendation = [0.0, 1.1330], Current Cost = 415.24, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 2.1521]. Recommendation = [0.0, 1.1330], Current Cost = 418.78, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2488]. Recommendation = [0.0, 1.1330], Current Cost = 422.32, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9974]. Recommendation = [0.0, 1.1330], Current Cost = 425.86, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0037]. Recommendation = [0.0, 1.1330], Current Cost = 429.40, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 2.3327]. Recommendation = [0.0, 1.1330], Current Cost = 432.94, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9888]. Recommendation = [0.0, 1.1330], Current Cost = 436.48, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2851]. Recommendation = [0.0, 1.1330], Current Cost = 440.02, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.1761]. Recommendation = [0.0, 1.1330], Current Cost = 443.56, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3740]. Recommendation = [0.0, 1.1330], Current Cost = 447.10, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3017]. Recommendation = [0.0, 1.1330], Current Cost = 450.64, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9825]. Recommendation = [0.0, 1.1330], Current Cost = 454.18, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9745]. Recommendation = [0.0, 1.1330], Current Cost = 457.72, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3443]. Recommendation = [0.0, 1.1330], Current Cost = 461.26, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3278]. Recommendation = [0.0, 1.1330], Current Cost = 464.79, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0361]. Recommendation = [0.0, 1.1330], Current Cost = 468.33, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4111]. Recommendation = [0.0, 1.1330], Current Cost = 471.87, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9635]. Recommendation = [0.0, 1.1330], Current Cost = 475.41, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9680]. Recommendation = [0.0, 1.1330], Current Cost = 478.95, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.0144]. Recommendation = [0.0, 1.1330], Current Cost = 482.49, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3351]. Recommendation = [0.0, 1.1330], Current Cost = 486.03, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2692]. Recommendation = [0.0, 1.1330], Current Cost = 489.57, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.2940]. Recommendation = [0.0, 1.1330], Current Cost = 493.11, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3619]. Recommendation = [0.0, 1.1330], Current Cost = 496.65, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9531]. Recommendation = [0.0, 1.1330], Current Cost = 500.19, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9585]. Recommendation = [0.0, 1.1330], Current Cost = 503.73, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9959]. Recommendation = [0.0, 1.1330], Current Cost = 507.27, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3979]. Recommendation = [0.0, 1.1330], Current Cost = 510.81, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9714]. Recommendation = [0.0, 1.1330], Current Cost = 514.35, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9422]. Recommendation = [0.0, 1.1330], Current Cost = 517.89, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9459]. Recommendation = [0.0, 1.1330], Current Cost = 521.43, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4280]. Recommendation = [0.0, 1.1330], Current Cost = 524.97, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4436]. Recommendation = [0.0, 1.1330], Current Cost = 528.51, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3870]. Recommendation = [0.0, 1.1330], Current Cost = 532.05, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9760]. Recommendation = [0.0, 1.1330], Current Cost = 535.59, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.4874]. Recommendation = [0.0, 1.1330], Current Cost = 539.13, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9304]. Recommendation = [0.0, 1.1330], Current Cost = 542.67, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 0.9360]. Recommendation = [0.0, 1.1330], Current Cost = 546.21, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3187]. Recommendation = [0.0, 1.1330], Current Cost = 549.75, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.3522]. Recommendation = [0.0, 1.1330], Current Cost = 553.29, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.8118]. Recommendation = [0.0, 1.1330], Current Cost = 556.83, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.6709]. Recommendation = [0.0, 1.1330], Current Cost = 560.37, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 2.0311]. Recommendation = [0.0, 1.1330], Current Cost = 563.90, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.9475]. Recommendation = [0.0, 1.1330], Current Cost = 567.44, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5415]. Recommendation = [0.0, 1.1330], Current Cost = 570.98, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.8771]. Recommendation = [0.0, 1.1330], Current Cost = 574.52, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5228]. Recommendation = [0.0, 1.1330], Current Cost = 578.06, Rho = 1.000
(iter 10) [0.0, 1.0345] = 113.2745, sampling [1.0, 1.5858]. Recommendation = [0.0, 1.1330], Current Cost = 581.60, Rho = 1.000
