(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.5298]. Recommendation = [0.0, 1.4142], Current Cost = 75.44, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.2719]. Recommendation = [0.0, 1.4142], Current Cost = 78.98, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.1492]. Recommendation = [0.0, 1.2719], Current Cost = 82.51, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.2078]. Recommendation = [0.0, 1.1492], Current Cost = 86.05, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.0709]. Recommendation = [0.0, 1.1492], Current Cost = 89.59, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.1099]. Recommendation = [0.0, 1.1492], Current Cost = 93.13, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.3329]. Recommendation = [0.0, 1.1099], Current Cost = 96.67, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.0205]. Recommendation = [0.0, 1.1099], Current Cost = 100.21, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.1791]. Recommendation = [0.0, 1.1099], Current Cost = 103.75, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.2364]. Recommendation = [0.0, 1.1099], Current Cost = 107.29, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.1309]. Recommendation = [0.0, 1.1099], Current Cost = 110.83, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.0455]. Recommendation = [0.0, 1.1309], Current Cost = 114.37, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.0890]. Recommendation = [0.0, 1.1309], Current Cost = 117.91, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 0.9850]. Recommendation = [0.0, 1.1309], Current Cost = 121.45, Rho = 0.993
(iter 10) [0.0, 1.4142] = 113.2066, sampling [1.0, 1.2990]. Recommendation = [0.0, 1.1309], Current Cost = 124.99, Rho = 0.993
