(iter 10) [0.0, 1.0108] = 113.2578, sampling [1.0, 1.0153]. Recommendation = [0.0, 1.0108], Current Cost = 75.44, Rho = 1.000
(iter 10) [0.0, 1.0108] = 113.2578, sampling [1.0, 1.0073]. Recommendation = [0.0, 1.0108], Current Cost = 78.98, Rho = 1.000
(iter 10) [0.0, 1.0108] = 113.2578, sampling [0.0, 1.0168]. Recommendation = [0.0, 1.0108], Current Cost = 82.51, Rho = 1.000
(iter 12) [0.0, 1.0168] = 113.2624, sampling [1.0, 1.0168]. Recommendation = [0.0, 1.0168], Current Cost = 94.06, Rho = 1.000
(iter 12) [0.0, 1.0168] = 113.2624, sampling [1.0, 1.0226]. Recommendation = [0.0, 1.0168], Current Cost = 97.60, Rho = 1.000
(iter 12) [0.0, 1.0168] = 113.2624, sampling [0.0, 1.0226]. Recommendation = [0.0, 1.0168], Current Cost = 101.14, Rho = 1.000
(iter 15) [0.0, 1.0226] = 113.2668, sampling [1.0, 1.0273]. Recommendation = [0.0, 1.0226], Current Cost = 112.69, Rho = 1.000
(iter 15) [0.0, 1.0226] = 113.2668, sampling [0.0, 1.0273]. Recommendation = [0.0, 1.0226], Current Cost = 116.23, Rho = 1.000
(iter 17) [0.0, 1.0273] = 113.2701, sampling [1.0, 1.0310]. Recommendation = [0.0, 1.0273], Current Cost = 127.78, Rho = 1.000
(iter 17) [0.0, 1.0273] = 113.2701, sampling [1.0, 1.0359]. Recommendation = [0.0, 1.0273], Current Cost = 131.32, Rho = 1.000
(iter 17) [0.0, 1.0273] = 113.2701, sampling [0.0, 1.0359]. Recommendation = [0.0, 1.0273], Current Cost = 134.86, Rho = 1.000
(iter 20) [0.0, 1.0359] = 113.2750, sampling [1.0, 1.0399]. Recommendation = [0.0, 1.0359], Current Cost = 146.40, Rho = 1.000
(iter 20) [0.0, 1.0359] = 113.2750, sampling [0.0, 1.0440]. Recommendation = [0.0, 1.0359], Current Cost = 149.94, Rho = 1.000
(iter 22) [0.0, 1.0440] = 113.2794, sampling [1.0, 1.0462]. Recommendation = [0.0, 1.0440], Current Cost = 161.49, Rho = 1.000
(iter 22) [0.0, 1.0440] = 113.2794, sampling [1.0, 1.0440]. Recommendation = [0.0, 1.0440], Current Cost = 165.03, Rho = 1.000
(iter 22) [0.0, 1.0440] = 113.2794, sampling [1.0, 1.0503]. Recommendation = [0.0, 1.0440], Current Cost = 168.57, Rho = 1.000
(iter 22) [0.0, 1.0440] = 113.2794, sampling [0.0, 1.0503]. Recommendation = [0.0, 1.0440], Current Cost = 172.11, Rho = 1.000
(iter 26) [0.0, 1.0503] = 113.2829, sampling [1.0, 1.0549]. Recommendation = [0.0, 1.0503], Current Cost = 183.66, Rho = 1.000
(iter 26) [0.0, 1.0503] = 113.2829, sampling [0.0, 1.0584]. Recommendation = [0.0, 1.0503], Current Cost = 187.20, Rho = 1.000
(iter 28) [0.0, 1.0584] = 113.2863, sampling [1.0, 1.0584]. Recommendation = [0.0, 1.0584], Current Cost = 198.74, Rho = 1.000
(iter 28) [0.0, 1.0584] = 113.2863, sampling [1.0, 1.0633]. Recommendation = [0.0, 1.0584], Current Cost = 202.28, Rho = 1.000
(iter 28) [0.0, 1.0584] = 113.2863, sampling [0.0, 1.0656]. Recommendation = [0.0, 1.0584], Current Cost = 205.82, Rho = 1.000
(iter 31) [0.0, 1.0656] = 113.2890, sampling [1.0, 1.0687]. Recommendation = [0.0, 1.0656], Current Cost = 217.37, Rho = 1.000
(iter 31) [0.0, 1.0656] = 113.2890, sampling [1.0, 1.0656]. Recommendation = [0.0, 1.0656], Current Cost = 220.91, Rho = 1.000
(iter 31) [0.0, 1.0656] = 113.2890, sampling [1.0, 1.0727]. Recommendation = [0.0, 1.0656], Current Cost = 224.45, Rho = 1.000
(iter 31) [0.0, 1.0656] = 113.2890, sampling [0.0, 1.0727]. Recommendation = [0.0, 1.0656], Current Cost = 227.99, Rho = 1.000
(iter 35) [0.0, 1.0727] = 113.2913, sampling [1.0, 1.0791]. Recommendation = [0.0, 1.0727], Current Cost = 239.54, Rho = 1.000
(iter 35) [0.0, 1.0727] = 113.2913, sampling [0.0, 1.0811]. Recommendation = [0.0, 1.0727], Current Cost = 243.08, Rho = 1.000
(iter 37) [0.0, 1.0811] = 113.2938, sampling [1.0, 1.0811]. Recommendation = [0.0, 1.0811], Current Cost = 254.62, Rho = 1.000
(iter 37) [0.0, 1.0811] = 113.2938, sampling [1.0, 1.0871]. Recommendation = [0.0, 1.0811], Current Cost = 258.16, Rho = 1.000
(iter 37) [0.0, 1.0811] = 113.2938, sampling [0.0, 1.0871]. Recommendation = [0.0, 1.0811], Current Cost = 261.70, Rho = 1.000
(iter 40) [0.0, 1.0871] = 113.2952, sampling [1.0, 1.0918]. Recommendation = [0.0, 1.0871], Current Cost = 273.25, Rho = 1.000
(iter 40) [0.0, 1.0871] = 113.2952, sampling [0.0, 1.0956]. Recommendation = [0.0, 1.0871], Current Cost = 276.79, Rho = 1.000
(iter 42) [0.0, 1.0956] = 113.2967, sampling [1.0, 1.0994]. Recommendation = [0.0, 1.0956], Current Cost = 288.34, Rho = 1.000
(iter 42) [0.0, 1.0956] = 113.2967, sampling [1.0, 1.0956]. Recommendation = [0.0, 1.0956], Current Cost = 291.88, Rho = 1.000
(iter 42) [0.0, 1.0956] = 113.2967, sampling [1.0, 1.1036]. Recommendation = [0.0, 1.0956], Current Cost = 295.42, Rho = 1.000
(iter 42) [0.0, 1.0956] = 113.2967, sampling [0.0, 1.1036]. Recommendation = [0.0, 1.0956], Current Cost = 298.96, Rho = 1.000
(iter 46) [0.0, 1.1036] = 113.2979, sampling [1.0, 1.1080]. Recommendation = [0.0, 1.1036], Current Cost = 310.50, Rho = 1.000
(iter 46) [0.0, 1.1036] = 113.2979, sampling [0.0, 1.1092]. Recommendation = [0.0, 1.1036], Current Cost = 314.04, Rho = 1.000
(iter 48) [0.0, 1.1092] = 113.2986, sampling [1.0, 1.1156]. Recommendation = [0.0, 1.1092], Current Cost = 325.59, Rho = 1.000
(iter 48) [0.0, 1.1092] = 113.2986, sampling [1.0, 1.1092]. Recommendation = [0.0, 1.1092], Current Cost = 329.13, Rho = 1.000
(iter 48) [0.0, 1.1092] = 113.2986, sampling [0.0, 1.1180]. Recommendation = [0.0, 1.1092], Current Cost = 332.67, Rho = 1.000
(iter 51) [0.0, 1.1180] = 113.2992, sampling [1.0, 1.1221]. Recommendation = [0.0, 1.1180], Current Cost = 344.22, Rho = 1.000
(iter 51) [0.0, 1.1180] = 113.2992, sampling [1.0, 1.1180]. Recommendation = [0.0, 1.1180], Current Cost = 347.76, Rho = 1.000
(iter 51) [0.0, 1.1180] = 113.2992, sampling [1.0, 1.1281]. Recommendation = [0.0, 1.1180], Current Cost = 351.30, Rho = 1.000
(iter 51) [0.0, 1.1180] = 113.2992, sampling [0.0, 1.1252]. Recommendation = [0.0, 1.1180], Current Cost = 354.84, Rho = 1.000
(iter 55) [0.0, 1.1252] = 113.2995, sampling [1.0, 1.1252]. Recommendation = [0.0, 1.1252], Current Cost = 366.38, Rho = 1.000
(iter 55) [0.0, 1.1252] = 113.2995, sampling [1.0, 1.1357]. Recommendation = [0.0, 1.1252], Current Cost = 369.92, Rho = 1.000
(iter 55) [0.0, 1.1252] = 113.2995, sampling [0.0, 1.1369]. Recommendation = [0.0, 1.1252], Current Cost = 373.46, Rho = 1.000
(iter 55) [0.0, 1.1252] = 113.2995, sampling [1.0, 1.1412]. Recommendation = [0.0, 1.1252], Current Cost = 385.01, Rho = 1.000
(iter 55) [0.0, 1.1252] = 113.2995, sampling [1.0, 1.1369]. Recommendation = [0.0, 1.1252], Current Cost = 388.55, Rho = 1.000
(iter 55) [0.0, 1.1252] = 113.2995, sampling [0.0, 1.1281]. Recommendation = [0.0, 1.1252], Current Cost = 392.09, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1442]. Recommendation = [0.0, 1.1281], Current Cost = 403.64, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1491]. Recommendation = [0.0, 1.1281], Current Cost = 415.19, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1442]. Recommendation = [0.0, 1.1281], Current Cost = 418.73, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1554]. Recommendation = [0.0, 1.1281], Current Cost = 422.26, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1592]. Recommendation = [0.0, 1.1281], Current Cost = 433.81, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1554]. Recommendation = [0.0, 1.1281], Current Cost = 437.35, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1491]. Recommendation = [0.0, 1.1281], Current Cost = 440.89, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1669]. Recommendation = [0.0, 1.1281], Current Cost = 452.44, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1626]. Recommendation = [0.0, 1.1281], Current Cost = 455.98, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1221]. Recommendation = [0.0, 1.1281], Current Cost = 467.53, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1745]. Recommendation = [0.0, 1.1281], Current Cost = 479.07, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1745]. Recommendation = [0.0, 1.1281], Current Cost = 490.62, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1682]. Recommendation = [0.0, 1.1281], Current Cost = 494.16, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [1.0, 1.1784]. Recommendation = [0.0, 1.1281], Current Cost = 497.70, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1669]. Recommendation = [0.0, 1.1281], Current Cost = 501.24, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1412]. Recommendation = [0.0, 1.1281], Current Cost = 512.79, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1156]. Recommendation = [0.0, 1.1281], Current Cost = 524.34, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1833]. Recommendation = [0.0, 1.1281], Current Cost = 535.88, Rho = 1.000
(iter 61) [0.0, 1.1281] = 113.2995, sampling [0.0, 1.1592]. Recommendation = [0.0, 1.1281], Current Cost = 547.43, Rho = 1.000
