(iter 10) CsPbBrBrI_DMF_0 = 7.7524, sampling MAPbClClCl_DMF_0. Recommendation = CsPbBrBrI_DMF_0, Current Cost = 60.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbBrClCl_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 66.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbClClI_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 72.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling CsPbClClCl_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 78.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbIII_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 84.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbBrClI_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 90.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbBrII_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 96.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbClII_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 102.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbBrBrBr_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 108.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbBrBrI_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 114.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbBrBrCl_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 120.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbClClI_DMA_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 126.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling FAPbClClI_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 132.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling FAPbIII_DMF_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 138.00, Rho = -1.230
(iter 10) MAPbClClCl_DMF_0 = 9.1121, sampling MAPbClClCl_DMA_0. Recommendation = MAPbClClCl_DMF_0, Current Cost = 144.00, Rho = -1.230
