(iter 20) CsPbIII_THTO_0 = 10.0230, sampling MAPbIII_DMSO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 70.00, Rho = 0.357
(iter 20) MAPbIII_DMSO_0 = 10.1710, sampling MAPbIII_CHCl3_0. Recommendation = MAPbIII_THTO_0, Current Cost = 76.00, Rho = 0.357
(iter 20) MAPbIII_DMSO_0 = 10.1710, sampling CsPbIII_GBL_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 82.00, Rho = 0.357
(iter 20) MAPbIII_DMSO_0 = 10.1710, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 88.00, Rho = 0.357
(iter 23) MAPbBrBrBr_THTO_0 = 10.5887, sampling MAPbBrBrBr_FAM_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 94.00, Rho = 0.357
(iter 23) MAPbBrBrBr_THTO_0 = 10.5887, sampling MAPbClII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 100.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling FAPbBrII_THTO_0. Recommendation = FAPbBrII_THTO_0, Current Cost = 106.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling MAPbClII_IPA_0. Recommendation = MAPbClII_THTO_0, Current Cost = 112.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling MAPbClII_DMSO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 118.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling MAPbIII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 124.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling MAPbClII_CH3OH_0. Recommendation = MAPbClII_THTO_0, Current Cost = 130.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 136.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 142.00, Rho = 0.357
(iter 25) MAPbClII_THTO_0 = 10.8670, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 148.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling MAPbBrII_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 154.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling FAPbClII_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 160.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling MAPbBrBrCl_PYR_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 166.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 172.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling MAPbBrII_DMSO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 178.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 184.00, Rho = 0.357
(iter 33) MAPbBrBrCl_THTO_0 = 10.9320, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 190.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 196.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 202.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 208.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 214.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 220.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 226.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_FAM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 232.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 238.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 244.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 250.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 256.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 262.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 268.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 274.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 280.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 286.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 292.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 298.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 304.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 310.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 316.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_ACE_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 322.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 328.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 334.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 340.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 346.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 352.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 358.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 364.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_MCR_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 370.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 376.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_NM_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 382.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMA_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 388.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 394.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 400.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 406.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 412.00, Rho = 0.357
(iter 40) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 418.00, Rho = 0.357
