(iter 20) MAPbIII_THTO_0 = 10.1937, sampling MAPbClClCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 70.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 76.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 82.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 88.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 94.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 100.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 106.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 112.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 118.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 124.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 130.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 136.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 142.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 148.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 154.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrBrBr_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 160.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 166.00, Rho = 0.373
(iter 20) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 172.00, Rho = 0.373
