(iter 10) MAPbClClI_DMSO_0 = 10.7449, sampling MAPbClClCl_DMSO_0. Recommendation = MAPbClClI_DMSO_0, Current Cost = 60.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_DMA_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 66.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_DMF_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 72.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_NM_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 78.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_MCR_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 84.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_PYR_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 90.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_GBL_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 96.00, Rho = -1.230
(iter 10) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 102.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_FAM_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 108.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_ETH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 114.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_IPA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 120.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_NMP_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 126.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_CH3OH_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 132.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_ACE_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 138.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_H2O_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 144.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClCl_CHCl3_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 150.00, Rho = -1.230
(iter 17) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClClI_DMA_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 156.00, Rho = -1.230
