(iter 20) MAPbBrBrI_MCR_0 = 10.2806, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_MCR_0, Current Cost = 70.00, Rho = 0.656
(iter 20) MAPbBrBrBr_THTO_0 = 10.5887, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrBrBr_THTO_0, Current Cost = 76.00, Rho = 0.656
(iter 21) MAPbBrBrI_THTO_0 = 10.7516, sampling FAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 82.00, Rho = 0.656
(iter 21) MAPbBrBrI_THTO_0 = 10.7516, sampling FAPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 88.00, Rho = 0.656
(iter 21) MAPbBrBrI_THTO_0 = 10.7516, sampling MAPbBrBrI_GBL_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 94.00, Rho = 0.656
(iter 21) MAPbBrBrI_THTO_0 = 10.7516, sampling MAPbBrII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 100.00, Rho = 0.656
(iter 25) MAPbBrII_THTO_0 = 10.8303, sampling FAPbBrII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 106.00, Rho = 0.656
(iter 25) MAPbBrII_THTO_0 = 10.8303, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 112.00, Rho = 0.656
(iter 25) MAPbBrII_THTO_0 = 10.8303, sampling FAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 118.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling MAPbClII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 124.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling FAPbClII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 130.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling CsPbIII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 136.00, Rho = 0.656
(iter 28) FAPbIII_THTO_0 = 11.2683, sampling CsPbBrII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 142.00, Rho = 0.656
