(iter 10) MAPbBrClI_THTO_0 = 11.1100, sampling FAPbClClI_THTO_0. Recommendation = MAPbBrClI_THTO_0, Current Cost = 60.00, Rho = -1.230
(iter 10) FAPbClClI_THTO_0 = 11.1360, sampling FAPbBrClI_THTO_0. Recommendation = FAPbClClI_THTO_0, Current Cost = 66.00, Rho = -1.230
(iter 10) FAPbClClI_THTO_0 = 11.1360, sampling FAPbClClCl_THTO_0. Recommendation = FAPbClClI_THTO_0, Current Cost = 72.00, Rho = -1.230
(iter 10) FAPbClClI_THTO_0 = 11.1360, sampling MAPbClClI_THTO_0. Recommendation = FAPbClClI_THTO_0, Current Cost = 78.00, Rho = -1.230
(iter 10) FAPbClClI_THTO_0 = 11.1360, sampling CsPbClClI_THTO_0. Recommendation = FAPbClClI_THTO_0, Current Cost = 84.00, Rho = -1.230
(iter 10) FAPbClClI_THTO_0 = 11.1360, sampling MAPbClClCl_THTO_0. Recommendation = FAPbClClI_THTO_0, Current Cost = 90.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 96.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 102.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 108.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 114.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 120.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 126.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 132.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbClII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 138.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 144.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 150.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbIII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 156.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 162.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 174.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrBrI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 180.00, Rho = -1.230
(iter 15) MAPbClClCl_THTO_0 = 11.2684, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 186.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 192.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrBr_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 198.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbIII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 204.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 216.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrII_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 222.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrBr_THTO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 228.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 234.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_GBL_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 240.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 246.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 258.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 264.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 276.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 282.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 288.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 300.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 306.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 312.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 318.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 330.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrClI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 342.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling MAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 348.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 354.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 360.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbBrBrCl_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 366.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling FAPbClII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 372.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbBrBrI_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 31) FAPbBrBrCl_THTO_0 = 11.5203, sampling CsPbIII_DMSO_0. Recommendation = FAPbBrBrCl_THTO_0, Current Cost = 384.00, Rho = -1.230
