(iter 10) MAPbBrBrCl_DMSO_0 = 10.8406, sampling FAPbBrClCl_DMSO_0. Recommendation = MAPbBrBrCl_DMSO_0, Current Cost = 60.00, Rho = -1.230
(iter 10) FAPbBrClCl_DMSO_0 = 11.0973, sampling FAPbClClCl_DMSO_0. Recommendation = FAPbBrClCl_DMSO_0, Current Cost = 66.00, Rho = -1.230
(iter 10) FAPbBrClCl_DMSO_0 = 11.0973, sampling FAPbBrBrBr_DMSO_0. Recommendation = FAPbBrClCl_DMSO_0, Current Cost = 72.00, Rho = -1.230
(iter 10) FAPbBrClCl_DMSO_0 = 11.0973, sampling MAPbBrClCl_DMSO_0. Recommendation = FAPbBrClCl_DMSO_0, Current Cost = 78.00, Rho = -1.230
(iter 10) FAPbBrClCl_DMSO_0 = 11.0973, sampling MAPbClClCl_DMSO_0. Recommendation = FAPbBrClCl_DMSO_0, Current Cost = 84.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 90.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrClCl_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 96.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 102.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 108.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbClClCl_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 114.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrBrBr_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 120.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrBrCl_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 126.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 132.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbIII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 138.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 144.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 150.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbClClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 156.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrBrCl_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 162.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbClClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrBrBr_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 174.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrClI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 180.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbIII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 186.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbClII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 192.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrBrI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 198.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbBrII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 204.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrClCl_H2O_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 216.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling CsPbClII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 222.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbIII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 228.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling FAPbBrII_DMSO_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 234.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbClClCl_CHCl3_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 240.00, Rho = -1.230
(iter 14) MAPbClClCl_DMSO_0 = 11.1633, sampling MAPbBrClCl_ETH_0. Recommendation = MAPbClClCl_DMSO_0, Current Cost = 246.00, Rho = -1.230
