(iter 10) CsPbBrClCl_FAM_0 = 8.6606, sampling CsPbClClI_FAM_0. Recommendation = CsPbBrClCl_FAM_0, Current Cost = 60.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbClII_FAM_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 66.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbClClI_ACE_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 72.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbIII_FAM_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 78.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbClClI_NM_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 84.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbBrBrBr_FAM_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 90.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbClII_H2O_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 96.00, Rho = -1.230
(iter 10) CsPbClClI_FAM_0 = 9.0021, sampling CsPbClII_DMSO_0. Recommendation = CsPbClClI_FAM_0, Current Cost = 102.00, Rho = -1.230
(iter 17) CsPbClII_DMSO_0 = 9.6052, sampling CsPbClII_THTO_0. Recommendation = CsPbClII_DMSO_0, Current Cost = 108.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbClII_GBL_0. Recommendation = CsPbClII_THTO_0, Current Cost = 114.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbClII_IPA_0. Recommendation = CsPbClII_THTO_0, Current Cost = 120.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbClII_NMP_0. Recommendation = CsPbClII_THTO_0, Current Cost = 126.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbClII_ACE_0. Recommendation = CsPbClII_THTO_0, Current Cost = 132.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbIII_THTO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 138.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbIII_DMSO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 144.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbIII_H2O_0. Recommendation = CsPbClII_THTO_0, Current Cost = 150.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbIII_ETH_0. Recommendation = CsPbClII_THTO_0, Current Cost = 156.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbClClCl_THTO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 162.00, Rho = -1.230
(iter 18) CsPbClII_THTO_0 = 10.0299, sampling CsPbClClCl_DMSO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_FAM_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 174.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_DMA_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 180.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_MCR_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 186.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_GBL_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 192.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_CH3OH_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 198.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_DMF_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 204.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_IPA_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClII_DMA_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 216.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClII_CH3OH_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 222.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClCl_H2O_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 228.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 234.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrBrBr_DMSO_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 240.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrBrBr_DMA_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 246.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrBrBr_GBL_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrBrBr_DMF_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 258.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrBrBr_CHCl3_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 264.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClI_THTO_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 270.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClI_DMSO_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 276.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClI_DMA_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 282.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClI_DMF_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 288.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClI_GBL_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbClClI_H2O_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 300.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrClI_THTO_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 306.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrClI_DMSO_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 312.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrClI_FAM_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 318.00, Rho = -1.230
(iter 28) CsPbClClCl_DMSO_0 = 10.1813, sampling CsPbBrClI_DMA_0. Recommendation = CsPbClClCl_DMSO_0, Current Cost = 324.00, Rho = -1.230
(iter 54) CsPbBrClI_DMA_0 = 12.9686, sampling CsPbBrClI_DMF_0. Recommendation = CsPbBrClI_DMA_0, Current Cost = 330.00, Rho = -1.230
