(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 150.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClClI_GBL_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 164.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClClI_DMSO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 178.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClClI_NMP_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 192.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 206.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling FAPbClClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 220.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 234.00, Rho = 0.048
(iter 20) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 248.00, Rho = 0.048
(iter 27) MAPbBrII_THTO_0 = 28.7835, sampling CsPbBrII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 262.00, Rho = 0.048
(iter 27) MAPbBrII_THTO_0 = 28.7835, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 276.00, Rho = 0.048
(iter 27) MAPbBrII_THTO_0 = 28.7835, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 290.00, Rho = 0.048
(iter 27) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 304.00, Rho = 0.048
(iter 31) MAPbIII_THTO_0 = 29.1326, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 318.00, Rho = 0.048
