(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_MCR_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_ACE_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_GBL_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrCl_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrBr_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 10) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbIII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 266.00, Rho = -1.230
(iter 19) MAPbIII_THTO_0 = 29.1326, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 280.00, Rho = -1.230
