(iter 10) MAPbBrII_NMP_0 = 24.6097, sampling MAPbClClCl_THTO_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbClClCl_THTO_0 = 25.5916, sampling MAPbClClI_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 168.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling FAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 182.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling CsPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling FAPbClClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling FAPbClClCl_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 11) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 266.00, Rho = -1.230
(iter 19) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 280.00, Rho = -1.230
(iter 20) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 294.00, Rho = -1.230
