(iter 10) CsPbBrClI_DMSO_0 = 22.0957, sampling CsPbClClI_DMSO_0. Recommendation = CsPbBrClI_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClI_MCR_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClI_THTO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClI_GBL_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClI_NMP_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClI_ACE_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling MAPbClClI_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClII_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClCl_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClI_NM_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling MAPbClII_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbIII_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 10) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbBrII_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 22) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbClII_NMP_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 22) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbClII_MCR_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 22) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbClII_THTO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 350.00, Rho = -1.230
(iter 22) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbClII_GBL_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 22) CsPbBrII_DMSO_0 = 25.5897, sampling MAPbIII_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 420.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 434.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 448.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 462.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 476.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 490.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_ACE_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 504.00, Rho = -1.230
(iter 27) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 518.00, Rho = -1.230
(iter 37) MAPbIII_THTO_0 = 29.1326, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 532.00, Rho = -1.230
