(iter 10) CsPbIII_DMSO_0 = 24.6514, sampling MAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrBr_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_GBL_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 350.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMF_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 420.00, Rho = -1.230
(iter 30) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 434.00, Rho = -1.230
