(iter 10) MAPbBrBrCl_THTO_0 = 26.0185, sampling CsPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrII_THTO_0. Recommendation = CsPbBrII_THTO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling FAPbIII_DMSO_0. Recommendation = FAPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling MAPbClII_GBL_0. Recommendation = MAPbClII_GBL_0, Current Cost = 182.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbClClCl_ACE_0. Recommendation = CsPbIII_THTO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbClClCl_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbClClCl_DMF_0. Recommendation = CsPbIII_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbClII_THTO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 266.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling MAPbBrBrBr_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 280.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrBrCl_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling CsPbClClCl_DMSO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 308.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 27.6262, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 322.00, Rho = -1.230
(iter 23) MAPbIII_THTO_0 = 29.1326, sampling MAPbIII_DMSO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 336.00, Rho = -1.230
