(iter 10) MAPbClII_DMSO_0 = 24.0511, sampling CsPbClII_DMSO_0. Recommendation = MAPbClII_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbClII_DMSO_0 = 24.3006, sampling CsPbIII_DMSO_0. Recommendation = CsPbClII_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 11) CsPbIII_DMSO_0 = 24.6514, sampling CsPbBrII_DMSO_0. Recommendation = CsPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling MAPbIII_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 350.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrBr_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 420.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 434.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_GBL_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 448.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 462.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 476.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 490.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 504.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 518.00, Rho = -1.230
(iter 13) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 532.00, Rho = -1.230
(iter 38) MAPbIII_THTO_0 = 29.1326, sampling CsPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 546.00, Rho = -1.230
