(iter 10) CsPbIII_NMP_0 = 23.2640, sampling MAPbIII_NMP_0. Recommendation = CsPbIII_NMP_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbIII_NMP_0 = 24.1254, sampling MAPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 154.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling MAPbClII_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 168.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling FAPbIII_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 182.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling MAPbBrII_GBL_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 196.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling MAPbBrII_DMSO_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 210.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling MAPbBrClI_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 224.00, Rho = -1.230
(iter 16) MAPbBrClI_NMP_0 = 26.3316, sampling MAPbClClI_NMP_0. Recommendation = MAPbBrClI_NMP_0, Current Cost = 238.00, Rho = -1.230
(iter 16) MAPbBrClI_NMP_0 = 26.3316, sampling CsPbBrClI_NMP_0. Recommendation = MAPbBrClI_NMP_0, Current Cost = 252.00, Rho = -1.230
(iter 16) MAPbBrClI_NMP_0 = 26.3316, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbBrClI_NMP_0, Current Cost = 266.00, Rho = -1.230
(iter 19) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 280.00, Rho = -1.230
(iter 19) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 294.00, Rho = -1.230
(iter 19) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 308.00, Rho = -1.230
(iter 22) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 322.00, Rho = -1.230
(iter 22) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 22) MAPbBrBrI_THTO_0 = 27.2061, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 350.00, Rho = -1.230
(iter 22) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbClClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 364.00, Rho = -1.230
(iter 26) MAPbClClI_THTO_0 = 28.3653, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 26) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 392.00, Rho = -1.230
(iter 26) MAPbClClI_THTO_0 = 28.3653, sampling MAPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 406.00, Rho = -1.230
(iter 29) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 420.00, Rho = -1.230
