(iter 10) FAPbClII_THTO_0 = 25.9464, sampling MAPbIII_DMSO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling CsPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 350.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 29) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 420.00, Rho = -1.230
(iter 29) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 434.00, Rho = -1.230
(iter 29) MAPbClClI_THTO_0 = 28.3653, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 448.00, Rho = -1.230
(iter 29) MAPbClClI_THTO_0 = 28.3653, sampling MAPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 462.00, Rho = -1.230
(iter 33) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 476.00, Rho = -1.230
