(iter 10) MAPbBrII_NMP_0 = 24.6097, sampling CsPbIII_DMSO_0. Recommendation = CsPbIII_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbIII_DMSO_0 = 24.6514, sampling CsPbIII_NMP_0. Recommendation = CsPbIII_NMP_0, Current Cost = 154.00, Rho = -1.230
(iter 10) CsPbIII_DMSO_0 = 24.6514, sampling CsPbBrII_DMSO_0. Recommendation = CsPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbBrII_THTO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling FAPbIII_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbBrII_NMP_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbIII_GBL_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling FAPbBrII_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling FAPbBrII_NMP_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling MAPbBrII_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbBrBrI_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling FAPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_THTO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrII_MCR_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrII_DMF_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 350.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbClII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 20) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbIII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 28) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 28) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 420.00, Rho = -1.230
(iter 28) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 434.00, Rho = -1.230
(iter 28) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 448.00, Rho = -1.230
(iter 28) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 462.00, Rho = -1.230
(iter 33) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 476.00, Rho = -1.230
(iter 34) MAPbIII_THTO_0 = 29.1326, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 490.00, Rho = -1.230
