(iter 10) CsPbBrBrI_DMF_0 = 20.2684, sampling CsPbClII_DMSO_0. Recommendation = CsPbBrBrI_DMF_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbClII_DMSO_0 = 24.3006, sampling CsPbIII_DMSO_0. Recommendation = CsPbClII_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 11) CsPbIII_DMSO_0 = 24.6514, sampling CsPbBrII_DMSO_0. Recommendation = CsPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 12) CsPbBrII_DMSO_0 = 25.5897, sampling CsPbBrBrI_DMSO_0. Recommendation = CsPbBrII_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 13) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrBrBr_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 13) CsPbBrBrI_DMSO_0 = 25.6958, sampling FAPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 13) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 13) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClCl_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 13) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrClI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 13) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbIII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 19) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 19) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 19) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 19) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 23) MAPbIII_THTO_0 = 29.1326, sampling CsPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 336.00, Rho = -1.230
