(iter 10) CsPbBrBrI_DMF_0 = 20.2684, sampling MAPbBrBrI_NMP_0. Recommendation = CsPbBrBrI_DMF_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbBrBrI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrBrBr_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 210.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling FAPbBrBrBr_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 224.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbBrBrCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 238.00, Rho = -1.230
(iter 10) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 252.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_DMF_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 266.00, Rho = -1.230
(iter 18) MAPbBrBrI_THTO_0 = 27.2061, sampling MAPbBrBrI_NM_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 280.00, Rho = -1.230
