(iter 10) FAPbBrClI_NMP_0 = 18.8069, sampling CsPbClClI_MCR_0. Recommendation = CsPbClClI_MCR_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbClClI_MCR_0 = 19.7720, sampling CsPbClClI_GBL_0. Recommendation = CsPbClClI_MCR_0, Current Cost = 154.00, Rho = -1.230
(iter 10) CsPbClClI_MCR_0 = 19.7720, sampling CsPbClClI_DMSO_0. Recommendation = CsPbClClI_MCR_0, Current Cost = 168.00, Rho = -1.230
(iter 12) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClCl_DMSO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 12) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbClClI_THTO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 210.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling MAPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbBrBrBr_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling FAPbBrBrI_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 266.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbBrII_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 280.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbIII_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbClII_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 308.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbBrClI_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 322.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbBrBrBr_NMP_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling MAPbBrII_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 350.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbBrBrCl_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 364.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling MAPbBrBrBr_DMSO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 14) CsPbBrBrI_THTO_0 = 26.0033, sampling CsPbIII_THTO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 392.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 406.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_DMF_0. Recommendation = CsPbIII_THTO_0, Current Cost = 420.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 434.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbIII_MCR_0. Recommendation = CsPbIII_THTO_0, Current Cost = 448.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling FAPbIII_DMSO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 462.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrBrI_DMF_0. Recommendation = CsPbIII_THTO_0, Current Cost = 476.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrBrI_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 490.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 504.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrBrI_MCR_0. Recommendation = CsPbIII_THTO_0, Current Cost = 518.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling CsPbBrClCl_DMSO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 532.00, Rho = -1.230
(iter 28) CsPbIII_THTO_0 = 27.6262, sampling MAPbIII_DMSO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 546.00, Rho = -1.230
(iter 39) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 560.00, Rho = -1.230
(iter 40) MAPbIII_THTO_0 = 29.1326, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 574.00, Rho = -1.230
