(iter 10) FAPbBrII_DMSO_0 = 22.5221, sampling FAPbBrBrBr_DMSO_0. Recommendation = FAPbBrII_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbBrBrI_DMSO_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling MAPbBrBrBr_DMSO_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbIII_MCR_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbBrBrBr_NMP_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbClII_NMP_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbBrBrCl_NMP_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbBrBrBr_DMF_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbBrII_THTO_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 10) FAPbBrBrBr_DMSO_0 = 24.0551, sampling FAPbClII_THTO_0. Recommendation = FAPbBrBrBr_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling CsPbClII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 280.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling FAPbBrBrI_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling FAPbClII_ACE_0. Recommendation = FAPbClII_THTO_0, Current Cost = 308.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling CsPbBrBrBr_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 322.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling CsPbBrII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 336.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling MAPbBrBrBr_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 350.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling FAPbClClI_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 364.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling FAPbBrClI_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling CsPbClClI_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 392.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling FAPbBrBrBr_MCR_0. Recommendation = FAPbClII_THTO_0, Current Cost = 406.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling FAPbIII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 420.00, Rho = -1.230
(iter 19) FAPbClII_THTO_0 = 25.9464, sampling MAPbClII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 434.00, Rho = -1.230
(iter 31) MAPbClII_THTO_0 = 27.8738, sampling MAPbIII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 448.00, Rho = -1.230
(iter 32) MAPbIII_THTO_0 = 29.1326, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 462.00, Rho = -1.230
