(iter 10) CsPbIII_DMSO_0 = 24.6514, sampling MAPbIII_DMSO_0. Recommendation = CsPbIII_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_GBL_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 10) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling MAPbClII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 224.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 238.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling CsPbBrII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 252.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling MAPbBrBrI_NM_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 266.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling MAPbClClI_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 280.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling MAPbBrClI_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 294.00, Rho = -1.230
(iter 15) MAPbBrII_THTO_0 = 28.7835, sampling MAPbIII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 308.00, Rho = -1.230
(iter 22) MAPbIII_THTO_0 = 29.1326, sampling MAPbClClI_DMSO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 322.00, Rho = -1.230
