(iter 10) MAPbBrII_MCR_0 = 20.4009, sampling MAPbClII_NMP_0. Recommendation = MAPbBrII_MCR_0, Current Cost = 140.00, Rho = -1.230
(iter 10) MAPbClII_NMP_0 = 22.0591, sampling MAPbBrII_NMP_0. Recommendation = MAPbClII_NMP_0, Current Cost = 154.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling MAPbIII_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 168.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling CsPbIII_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 182.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling CsPbClII_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 196.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling CsPbBrII_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 210.00, Rho = -1.230
(iter 11) MAPbBrII_NMP_0 = 24.6097, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbBrII_NMP_0, Current Cost = 224.00, Rho = -1.230
(iter 16) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 238.00, Rho = -1.230
(iter 16) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 252.00, Rho = -1.230
(iter 16) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbClClI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 266.00, Rho = -1.230
(iter 16) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbBrClI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 280.00, Rho = -1.230
(iter 16) MAPbBrBrI_NMP_0 = 26.3692, sampling CsPbClClI_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 294.00, Rho = -1.230
(iter 16) MAPbBrBrI_NMP_0 = 26.3692, sampling MAPbClClCl_NMP_0. Recommendation = MAPbBrBrI_NMP_0, Current Cost = 308.00, Rho = -1.230
