(iter 10) MAPbClClI_DMSO_0 = 20.1397, sampling CsPbBrBrBr_DMSO_0. Recommendation = MAPbClClI_DMSO_0, Current Cost = 140.00, Rho = -1.230
(iter 10) CsPbBrBrBr_DMSO_0 = 25.5151, sampling CsPbBrBrI_DMSO_0. Recommendation = CsPbBrBrBr_DMSO_0, Current Cost = 154.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrBrCl_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 168.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 182.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbIII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 196.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 210.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 224.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbBrClI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 238.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClCl_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 252.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_NMP_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 266.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_THTO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 280.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_MCR_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 294.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_DMF_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 308.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_GBL_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 322.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_ACE_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 336.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClII_NM_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 350.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling FAPbClII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 364.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling MAPbClII_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 378.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling FAPbClClI_DMSO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 392.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_NMP_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 406.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_THTO_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 420.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_DMF_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 434.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_MCR_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 448.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_NM_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 462.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_ACE_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 476.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbClClI_GBL_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 490.00, Rho = -1.230
(iter 11) CsPbBrBrI_DMSO_0 = 25.6958, sampling CsPbIII_NMP_0. Recommendation = CsPbBrBrI_DMSO_0, Current Cost = 504.00, Rho = -1.230
