(iter 20) CsPbClClI_DMSO_0 = 25.3417, sampling CsPbClClCl_THTO_0. Recommendation = CsPbClClI_DMSO_0, Current Cost = 150.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 164.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClClCl_ACE_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 178.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClClCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 192.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClII_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 206.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClClI_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 220.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClClCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 234.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling FAPbClClCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 248.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbIII_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 262.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClII_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 276.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbBrBrCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 290.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClII_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 304.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClClI_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 318.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling FAPbClClI_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 332.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClClCl_DMSO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 346.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbBrClCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 360.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbBrClCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 374.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClClI_NM_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 388.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbClII_DMSO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 402.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling CsPbIII_DMSO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 416.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbClII_DMSO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 430.00, Rho = 0.168
(iter 20) CsPbClClCl_THTO_0 = 26.7657, sampling MAPbIII_DMSO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 444.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbIII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 458.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbClClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 472.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 486.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 500.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrBrBr_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 514.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrBr_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 528.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 542.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 556.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbBrClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 570.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 584.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 598.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrII_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 612.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrClI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 626.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbBrBrCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 640.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbBrBrI_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 654.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling FAPbClClCl_DMSO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 668.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 682.00, Rho = 0.168
(iter 41) MAPbIII_DMSO_0 = 28.3555, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_DMSO_0, Current Cost = 696.00, Rho = 0.168
(iter 59) MAPbIII_THTO_0 = 29.1326, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 710.00, Rho = 0.168
