(iter 20) CsPbClClI_THTO_0 = 32.0907, sampling CsPbClClCl_THTO_0. Recommendation = CsPbClClI_THTO_0, Current Cost = 410.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 437.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling MAPbClClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 464.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbClClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 491.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 518.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 545.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClII_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 572.00, Rho = 0.169
(iter 20) CsPbClClCl_THTO_0 = 36.7880, sampling MAPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 599.00, Rho = 0.169
(iter 27) MAPbClClI_THTO_0 = 39.2486, sampling CsPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 626.00, Rho = 0.169
(iter 27) MAPbClClI_THTO_0 = 39.2486, sampling CsPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 653.00, Rho = 0.169
(iter 27) MAPbClClI_THTO_0 = 39.2486, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 680.00, Rho = 0.169
(iter 27) MAPbClClI_THTO_0 = 39.2486, sampling MAPbIII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 707.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 734.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 761.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 788.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 815.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 842.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 869.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 896.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 923.00, Rho = 0.169
(iter 31) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 950.00, Rho = 0.169
(iter 40) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 977.00, Rho = 0.169
