(iter 20) FAPbBrBrBr_THTO_0 = 34.3611, sampling MAPbBrBrBr_THTO_0. Recommendation = FAPbBrBrBr_THTO_0, Current Cost = 410.00, Rho = 0.235
(iter 20) MAPbBrBrBr_THTO_0 = 35.8339, sampling CsPbBrBrBr_THTO_0. Recommendation = MAPbBrBrBr_THTO_0, Current Cost = 437.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling MAPbBrBrBr_MCR_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 464.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbBrBrBr_NMP_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 491.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling MAPbBrBrBr_NMP_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 518.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling FAPbBrBrBr_NMP_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 545.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling MAPbBrBrBr_ACE_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 572.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbBrBrBr_MCR_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 599.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling FAPbBrBrBr_ACE_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 626.00, Rho = 0.235
(iter 21) CsPbBrBrBr_THTO_0 = 36.8875, sampling MAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 653.00, Rho = 0.235
(iter 29) MAPbBrBrCl_THTO_0 = 37.1202, sampling CsPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 680.00, Rho = 0.235
(iter 30) CsPbBrBrCl_THTO_0 = 38.0885, sampling FAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 707.00, Rho = 0.235
(iter 30) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 734.00, Rho = 0.235
(iter 32) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 761.00, Rho = 0.235
