(iter 20) MAPbClII_THTO_0 = 37.7521, sampling MAPbClClI_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 410.00, Rho = 0.165
(iter 20) MAPbClClI_THTO_0 = 39.2486, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 437.00, Rho = 0.165
(iter 20) MAPbClClI_THTO_0 = 39.2486, sampling MAPbClClI_NM_0. Recommendation = CsPbClClI_THTO_0, Current Cost = 464.00, Rho = 0.165
(iter 20) MAPbClClI_THTO_0 = 39.2486, sampling MAPbIII_THTO_0. Recommendation = CsPbClClI_THTO_0, Current Cost = 491.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 518.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_ACE_0. Recommendation = MAPbIII_ACE_0, Current Cost = 545.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrBr_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 626.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 640.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrCl_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 654.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 668.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 682.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 696.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 710.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_DMF_1. Recommendation = MAPbIII_THTO_0, Current Cost = 724.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 738.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrBr_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 752.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrClI_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 766.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 780.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 794.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 808.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_1. Recommendation = MAPbIII_THTO_0, Current Cost = 822.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 836.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 850.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClCl_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 864.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrClI_ACE_1. Recommendation = MAPbIII_THTO_0, Current Cost = 878.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 892.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NM_1. Recommendation = MAPbIII_THTO_0, Current Cost = 906.00, Rho = 0.165
(iter 23) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_NMP_1. Recommendation = MAPbIII_THTO_0, Current Cost = 920.00, Rho = 0.165
