(iter 20) FAPbClClCl_NMP_0 = 26.7728, sampling CsPbClClCl_NMP_0. Recommendation = FAPbClClCl_NMP_0, Current Cost = 410.00, Rho = 0.372
(iter 20) CsPbClClCl_NMP_0 = 31.1675, sampling CsPbClClI_NMP_0. Recommendation = CsPbClClCl_NMP_0, Current Cost = 437.00, Rho = 0.372
(iter 21) CsPbClClI_NMP_0 = 32.8979, sampling FAPbClClI_NMP_0. Recommendation = CsPbClClI_NMP_0, Current Cost = 464.00, Rho = 0.372
(iter 21) CsPbClClI_NMP_0 = 32.8979, sampling CsPbBrClCl_NMP_0. Recommendation = CsPbClClI_NMP_0, Current Cost = 491.00, Rho = 0.372
(iter 21) CsPbClClI_NMP_0 = 32.8979, sampling CsPbClII_NMP_0. Recommendation = CsPbClClI_NMP_0, Current Cost = 518.00, Rho = 0.372
(iter 24) CsPbClII_NMP_0 = 32.9945, sampling CsPbIII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 545.00, Rho = 0.372
(iter 24) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 572.00, Rho = 0.372
(iter 24) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrClI_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 599.00, Rho = 0.372
(iter 24) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrBrI_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 626.00, Rho = 0.372
(iter 28) CsPbBrBrI_NMP_0 = 33.3776, sampling CsPbBrBrBr_NMP_0. Recommendation = CsPbBrBrI_NMP_0, Current Cost = 653.00, Rho = 0.372
(iter 28) CsPbBrBrI_NMP_0 = 33.3776, sampling FAPbClII_NMP_0. Recommendation = CsPbBrBrI_NMP_0, Current Cost = 680.00, Rho = 0.372
(iter 28) CsPbBrBrI_NMP_0 = 33.3776, sampling MAPbBrBrI_NMP_0. Recommendation = CsPbBrBrI_NMP_0, Current Cost = 707.00, Rho = 0.372
(iter 28) CsPbBrBrI_NMP_0 = 33.3776, sampling MAPbBrBrBr_NMP_0. Recommendation = CsPbBrBrI_NMP_0, Current Cost = 734.00, Rho = 0.372
(iter 32) MAPbBrBrBr_NMP_0 = 34.8666, sampling FAPbBrBrBr_NMP_0. Recommendation = MAPbBrBrBr_NMP_0, Current Cost = 761.00, Rho = 0.372
(iter 32) MAPbBrBrBr_NMP_0 = 34.8666, sampling FAPbBrBrI_NMP_0. Recommendation = MAPbBrBrBr_NMP_0, Current Cost = 788.00, Rho = 0.372
(iter 32) MAPbBrBrBr_NMP_0 = 34.8666, sampling MAPbBrII_NMP_0. Recommendation = MAPbBrBrBr_NMP_0, Current Cost = 815.00, Rho = 0.372
(iter 32) MAPbBrBrBr_NMP_0 = 34.8666, sampling MAPbIII_NMP_0. Recommendation = MAPbBrBrBr_NMP_0, Current Cost = 842.00, Rho = 0.372
(iter 36) MAPbIII_NMP_0 = 34.9388, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 869.00, Rho = 0.372
(iter 36) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 896.00, Rho = 0.372
(iter 36) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 923.00, Rho = 0.372
(iter 36) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 950.00, Rho = 0.372
