(iter 10) FAPbBrClI_THTO_0 = 34.0988, sampling FAPbIII_THTO_0. Recommendation = FAPbBrClI_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) FAPbIII_THTO_0 = 35.9208, sampling MAPbIII_THTO_0. Recommendation = FAPbIII_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NM_0. Recommendation = MAPbIII_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 11) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 621.00, Rho = -1.230
