(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 37.1202, sampling MAPbClClCl_THTO_0. Recommendation = MAPbClClCl_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 37.1202, sampling MAPbBrBrCl_ACE_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 37.1202, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 10) MAPbBrBrCl_THTO_0 = 37.1202, sampling CsPbBrBrCl_THTO_0. Recommendation = MAPbBrBrCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 14) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 14) CsPbBrBrCl_THTO_0 = 38.0885, sampling FAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 14) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbClII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 14) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbClII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 14) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 19) MAPbBrII_THTO_0 = 38.5434, sampling CsPbBrII_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 19) MAPbBrII_THTO_0 = 38.5434, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 21) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 594.00, Rho = -1.230
