(iter 20) CsPbClClCl_DMF_0 = 27.0382, sampling MAPbClII_DMF_0. Recommendation = CsPbClClCl_DMF_0, Current Cost = 410.00, Rho = 0.311
(iter 20) MAPbClII_DMF_0 = 29.8324, sampling MAPbIII_DMF_0. Recommendation = MAPbClII_DMF_0, Current Cost = 437.00, Rho = 0.311
(iter 21) MAPbIII_DMF_0 = 30.4042, sampling FAPbIII_DMF_0. Recommendation = MAPbIII_DMF_0, Current Cost = 464.00, Rho = 0.311
(iter 21) MAPbIII_DMF_0 = 30.4042, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_DMF_0, Current Cost = 491.00, Rho = 0.311
(iter 23) MAPbClII_THTO_0 = 37.7521, sampling MAPbIII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 518.00, Rho = 0.311
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 545.00, Rho = 0.311
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.311
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.311
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 626.00, Rho = 0.311
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 653.00, Rho = 0.311
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 680.00, Rho = 0.311
(iter 30) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 707.00, Rho = 0.311
