(iter 10) FAPbBrBrI_THTO_0 = 31.6146, sampling FAPbClClCl_THTO_0. Recommendation = FAPbBrBrI_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) FAPbClClCl_THTO_0 = 35.1447, sampling CsPbClClCl_THTO_0. Recommendation = FAPbClClCl_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling MAPbClClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClClCl_MCR_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbClClCl_NMP_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbClClCl_DMF_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClClCl_DMF_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClClCl_NM_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling MAPbBrClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 11) CsPbClClCl_THTO_0 = 36.7880, sampling MAPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 621.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling FAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 648.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling CsPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 675.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling MAPbBrClI_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 702.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling CsPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 729.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling FAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 756.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling MAPbClII_THTO_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 783.00, Rho = -1.230
(iter 23) MAPbClClI_THTO_0 = 39.2486, sampling CsPbClClI_NMP_0. Recommendation = MAPbClClI_THTO_0, Current Cost = 810.00, Rho = -1.230
