(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 410.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 437.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling FAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 464.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 491.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 518.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrBrBr_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 545.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrClCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 572.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 599.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling FAPbBrBrBr_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 626.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 653.00, Rho = 0.401
(iter 20) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrBrI_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 680.00, Rho = 0.401
(iter 30) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 707.00, Rho = 0.401
