(iter 10) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 11) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbClClCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 11) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbClII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 11) CsPbBrBrCl_THTO_0 = 38.0885, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 11) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbBrBrCl_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 11) CsPbBrBrCl_THTO_0 = 38.0885, sampling MAPbIII_THTO_0. Recommendation = CsPbBrBrCl_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 16) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 16) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 16) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 16) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 16) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrBrCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 16) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 22) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbClII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 621.00, Rho = -1.230
