(iter 20) MAPbClII_NMP_0 = 32.2747, sampling MAPbIII_NMP_0. Recommendation = MAPbClII_NMP_0, Current Cost = 410.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbIII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 437.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbClII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 464.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 491.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 518.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 545.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 572.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrBrBr_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 599.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 626.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 653.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbIII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 680.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 707.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 734.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 761.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 788.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbClII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 815.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrBrCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 842.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 869.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrBrI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 896.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbClClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 923.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 950.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 977.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1004.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1031.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrBrBr_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1058.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1085.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrBrCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1112.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbClClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1139.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1166.00, Rho = 0.188
(iter 20) MAPbIII_NMP_0 = 34.9388, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1193.00, Rho = 0.188
(iter 49) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 1220.00, Rho = 0.188
