(iter 20) MAPbBrBrBr_THTO_0 = 35.8339, sampling CsPbIII_THTO_0. Recommendation = MAPbBrBrBr_THTO_0, Current Cost = 410.00, Rho = 0.686
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 437.00, Rho = 0.686
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling FAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 464.00, Rho = 0.686
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 491.00, Rho = 0.686
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling FAPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 518.00, Rho = 0.686
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 545.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 626.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 653.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 680.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 707.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 734.00, Rho = 0.686
(iter 25) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 761.00, Rho = 0.686
(iter 33) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 788.00, Rho = 0.686
