(iter 20) CsPbIII_DMF_0 = 29.6963, sampling MAPbIII_DMF_0. Recommendation = CsPbIII_DMF_0, Current Cost = 410.00, Rho = 0.761
(iter 20) MAPbIII_DMF_0 = 30.4042, sampling FAPbIII_DMF_0. Recommendation = MAPbIII_DMF_0, Current Cost = 437.00, Rho = 0.761
(iter 20) MAPbIII_DMF_0 = 30.4042, sampling MAPbClII_DMF_0. Recommendation = MAPbIII_DMF_0, Current Cost = 464.00, Rho = 0.761
(iter 20) MAPbIII_DMF_0 = 30.4042, sampling MAPbBrII_DMF_0. Recommendation = MAPbIII_DMF_0, Current Cost = 491.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbBrII_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 518.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbClII_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 545.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling FAPbClII_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 572.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling FAPbBrII_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 599.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbClClI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 626.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbBrClI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 653.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbBrBrI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 680.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbBrBrBr_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 707.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbClClI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 734.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbBrClI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 761.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbClClCl_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 788.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbBrClCl_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 815.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling FAPbClClI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 842.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbBrBrBr_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 869.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbBrBrCl_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 896.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling MAPbIII_NM_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 923.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbBrBrCl_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 950.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbClClCl_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 977.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbBrClCl_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 1004.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling FAPbBrBrI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 1031.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling FAPbBrClI_DMF_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 1058.00, Rho = 0.761
(iter 23) MAPbBrII_DMF_0 = 30.6548, sampling CsPbClII_THTO_0. Recommendation = MAPbBrII_DMF_0, Current Cost = 1085.00, Rho = 0.761
(iter 45) CsPbClII_THTO_0 = 35.0192, sampling CsPbIII_THTO_0. Recommendation = CsPbClII_THTO_0, Current Cost = 1112.00, Rho = 0.761
(iter 46) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 1139.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1166.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1193.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1220.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1247.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1274.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling FAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1301.00, Rho = 0.761
(iter 47) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1328.00, Rho = 0.761
(iter 54) MAPbBrBrI_THTO_0 = 42.6589, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 1355.00, Rho = 0.761
