(iter 10) CsPbClClCl_NMP_0 = 31.1675, sampling CsPbClII_NMP_0. Recommendation = CsPbClClCl_NMP_0, Current Cost = 270.00, Rho = -1.230
(iter 10) CsPbClII_NMP_0 = 32.9945, sampling CsPbIII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 297.00, Rho = -1.230
(iter 10) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 324.00, Rho = -1.230
(iter 10) CsPbClII_NMP_0 = 32.9945, sampling FAPbClII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 351.00, Rho = -1.230
(iter 10) CsPbClII_NMP_0 = 32.9945, sampling CsPbClClI_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 378.00, Rho = -1.230
(iter 10) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrClI_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 405.00, Rho = -1.230
(iter 10) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrBrI_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 432.00, Rho = -1.230
(iter 16) CsPbBrBrI_NMP_0 = 33.3776, sampling CsPbBrBrCl_NMP_0. Recommendation = CsPbBrBrI_NMP_0, Current Cost = 459.00, Rho = -1.230
(iter 16) CsPbBrBrI_NMP_0 = 33.3776, sampling MAPbIII_NMP_0. Recommendation = CsPbBrBrI_NMP_0, Current Cost = 486.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbIII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 513.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 540.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 567.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 594.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 621.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 648.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 675.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 702.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 729.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrBrBr_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 756.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrBrBr_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 783.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrBrCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 810.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 837.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrBrI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 864.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 891.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrBrBr_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 918.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrBrCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 945.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbClClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 972.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling FAPbBrClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 999.00, Rho = -1.230
(iter 18) MAPbIII_NMP_0 = 34.9388, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_NMP_0, Current Cost = 1026.00, Rho = -1.230
(iter 38) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 1053.00, Rho = -1.230
(iter 38) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 1080.00, Rho = -1.230
(iter 38) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 1107.00, Rho = -1.230
(iter 41) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1134.00, Rho = -1.230
(iter 41) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1161.00, Rho = -1.230
(iter 41) MAPbIII_THTO_0 = 41.7684, sampling CsPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1188.00, Rho = -1.230
(iter 41) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 1215.00, Rho = -1.230
(iter 45) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbClClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 1242.00, Rho = -1.230
