(iter 20) CsPbClClCl_NMP_0 = 31.1675, sampling CsPbClII_NMP_0. Recommendation = CsPbClClCl_NMP_0, Current Cost = 410.00, Rho = 0.282
(iter 20) CsPbClII_NMP_0 = 32.9945, sampling CsPbIII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 437.00, Rho = 0.282
(iter 20) CsPbClII_NMP_0 = 32.9945, sampling FAPbClII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 464.00, Rho = 0.282
(iter 20) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 491.00, Rho = 0.282
(iter 20) CsPbClII_NMP_0 = 32.9945, sampling CsPbClClI_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 518.00, Rho = 0.282
(iter 20) CsPbClII_NMP_0 = 32.9945, sampling CsPbBrClCl_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 545.00, Rho = 0.282
(iter 20) CsPbClII_NMP_0 = 32.9945, sampling MAPbIII_NMP_0. Recommendation = CsPbClII_NMP_0, Current Cost = 572.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling FAPbIII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 599.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 626.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling MAPbBrII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 653.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 680.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling MAPbClClCl_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 707.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrBrI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 734.00, Rho = 0.282
(iter 26) MAPbIII_NMP_0 = 34.9388, sampling CsPbBrClI_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 761.00, Rho = 0.282
