(iter 20) MAPbBrBrBr_THTO_0 = 35.8339, sampling MAPbIII_THTO_0. Recommendation = MAPbBrBrBr_THTO_0, Current Cost = 410.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_MCR_0. Recommendation = MAPbIII_THTO_0, Current Cost = 437.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 464.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 491.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 518.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 545.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_ACE_0. Recommendation = MAPbIII_THTO_0, Current Cost = 626.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 653.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_DMF_0. Recommendation = MAPbIII_THTO_0, Current Cost = 680.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbIII_NM_0. Recommendation = MAPbIII_THTO_0, Current Cost = 707.00, Rho = 0.331
(iter 20) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 734.00, Rho = 0.331
(iter 32) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrI_NMP_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 761.00, Rho = 0.331
