(iter 10) MAPbBrBrBr_THTO_0 = 35.8339, sampling CsPbBrBrBr_THTO_0. Recommendation = MAPbBrBrBr_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbIII_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 11) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 11) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 11) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 11) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrClI_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbClClI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbClClCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbIII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbBrBrBr_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 15) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbIII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 621.00, Rho = -1.230
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 648.00, Rho = -1.230
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 675.00, Rho = -1.230
(iter 25) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 702.00, Rho = -1.230
