(iter 20) MAPbClClCl_THTO_0 = 30.9263, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbBrClCl_THTO_0, Current Cost = 410.00, Rho = 0.238
(iter 20) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 437.00, Rho = 0.238
(iter 20) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbBrBrBr_MCR_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 464.00, Rho = 0.238
(iter 20) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 491.00, Rho = 0.238
(iter 20) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbBrClI_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 518.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbClClI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 545.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrClCl_ACE_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 572.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrClCl_NMP_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 599.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 626.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 653.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbIII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 680.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbBrBrBr_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 707.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbBrBrCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 734.00, Rho = 0.238
(iter 24) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbBrBrI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 761.00, Rho = 0.238
(iter 33) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbIII_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 788.00, Rho = 0.238
