(iter 10) FAPbBrBrBr_THTO_0 = 34.3611, sampling CsPbClClCl_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbClClI_THTO_0. Recommendation = CsPbClClCl_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling FAPbClClCl_NMP_0. Recommendation = FAPbClClCl_NMP_0, Current Cost = 324.00, Rho = -1.230
(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbBrBrBr_NMP_0. Recommendation = CsPbBrBrBr_NMP_0, Current Cost = 351.00, Rho = -1.230
(iter 10) CsPbClClCl_THTO_0 = 36.7880, sampling CsPbBrBrBr_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 14) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbIII_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 15) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrClCl_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 15) CsPbIII_THTO_0 = 37.8814, sampling CsPbIII_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 15) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrClI_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 18) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbIII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 18) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrBrI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 18) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbBrClI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 18) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrBrCl_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 18) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbClII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 621.00, Rho = -1.230
(iter 18) CsPbBrClI_THTO_0 = 39.1771, sampling MAPbIII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 648.00, Rho = -1.230
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 675.00, Rho = -1.230
(iter 24) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 702.00, Rho = -1.230
(iter 26) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbClClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 729.00, Rho = -1.230
