(iter 20) MAPbIII_DMF_0 = 30.4042, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_NMP_0, Current Cost = 410.00, Rho = 0.221
(iter 20) MAPbClII_NMP_0 = 32.2747, sampling MAPbIII_NMP_0. Recommendation = MAPbClII_NMP_0, Current Cost = 437.00, Rho = 0.221
(iter 21) MAPbIII_NMP_0 = 34.9388, sampling MAPbIII_THTO_0. Recommendation = MAPbIII_NMP_0, Current Cost = 464.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 491.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling CsPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 518.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 545.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClCl_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 572.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 599.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 626.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 653.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling FAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 680.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling CsPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 707.00, Rho = 0.221
(iter 22) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 734.00, Rho = 0.221
(iter 32) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrCl_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 761.00, Rho = 0.221
