(iter 10) CsPbBrBrBr_THTO_0 = 36.8875, sampling CsPbIII_THTO_0. Recommendation = CsPbBrBrBr_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 10) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 13) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 13) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 13) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 13) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 13) MAPbIII_THTO_0 = 41.7684, sampling FAPbIII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 13) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 19) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 540.00, Rho = -1.230
