(iter 10) CsPbClII_NMP_0 = 32.9945, sampling FAPbClII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 270.00, Rho = -1.230
(iter 10) FAPbClII_THTO_0 = 35.3936, sampling FAPbClII_ACE_0. Recommendation = FAPbClII_THTO_0, Current Cost = 297.00, Rho = -1.230
(iter 10) FAPbClII_THTO_0 = 35.3936, sampling MAPbClII_THTO_0. Recommendation = FAPbClII_THTO_0, Current Cost = 324.00, Rho = -1.230
(iter 12) MAPbClII_THTO_0 = 37.7521, sampling MAPbClII_NMP_0. Recommendation = MAPbClII_THTO_0, Current Cost = 351.00, Rho = -1.230
(iter 12) MAPbClII_THTO_0 = 37.7521, sampling MAPbBrBrBr_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 378.00, Rho = -1.230
(iter 12) MAPbClII_THTO_0 = 37.7521, sampling MAPbBrBrBr_DMF_0. Recommendation = MAPbClII_THTO_0, Current Cost = 405.00, Rho = -1.230
(iter 12) MAPbClII_THTO_0 = 37.7521, sampling MAPbBrII_THTO_0. Recommendation = MAPbClII_THTO_0, Current Cost = 432.00, Rho = -1.230
(iter 16) MAPbBrII_THTO_0 = 38.5434, sampling MAPbBrII_MCR_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 459.00, Rho = -1.230
(iter 16) MAPbBrII_THTO_0 = 38.5434, sampling MAPbClII_NM_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 486.00, Rho = -1.230
(iter 16) MAPbBrII_THTO_0 = 38.5434, sampling CsPbBrClI_THTO_0. Recommendation = MAPbBrII_THTO_0, Current Cost = 513.00, Rho = -1.230
(iter 19) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbBrClI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 540.00, Rho = -1.230
(iter 19) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrClI_NMP_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 567.00, Rho = -1.230
(iter 19) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrClI_MCR_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 594.00, Rho = -1.230
(iter 19) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbBrII_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 621.00, Rho = -1.230
(iter 19) CsPbBrClI_THTO_0 = 39.1771, sampling FAPbBrII_NMP_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 648.00, Rho = -1.230
(iter 19) CsPbBrClI_THTO_0 = 39.1771, sampling CsPbClClI_THTO_0. Recommendation = CsPbBrClI_THTO_0, Current Cost = 675.00, Rho = -1.230
