(iter 20) CsPbBrBrI_THTO_0 = 35.8493, sampling CsPbIII_THTO_0. Recommendation = CsPbBrBrI_THTO_0, Current Cost = 410.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 437.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbIII_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 464.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbIII_ACE_0. Recommendation = CsPbIII_THTO_0, Current Cost = 491.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 518.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbClII_NMP_0. Recommendation = CsPbIII_THTO_0, Current Cost = 545.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbIII_DMF_0. Recommendation = CsPbIII_THTO_0, Current Cost = 572.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbIII_NM_0. Recommendation = CsPbIII_THTO_0, Current Cost = 599.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling CsPbClClI_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 626.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling FAPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 653.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling MAPbClII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 680.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling FAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 707.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling FAPbBrII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 734.00, Rho = 0.277
(iter 20) CsPbIII_THTO_0 = 37.8814, sampling MAPbIII_THTO_0. Recommendation = CsPbIII_THTO_0, Current Cost = 761.00, Rho = 0.277
(iter 33) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrII_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 788.00, Rho = 0.277
(iter 33) MAPbIII_THTO_0 = 41.7684, sampling MAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 815.00, Rho = 0.277
(iter 33) MAPbIII_THTO_0 = 41.7684, sampling FAPbClClI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 842.00, Rho = 0.277
(iter 33) MAPbIII_THTO_0 = 41.7684, sampling MAPbClII_NMP_0. Recommendation = MAPbIII_THTO_0, Current Cost = 869.00, Rho = 0.277
(iter 33) MAPbIII_THTO_0 = 41.7684, sampling MAPbBrBrI_THTO_0. Recommendation = MAPbIII_THTO_0, Current Cost = 896.00, Rho = 0.277
(iter 38) MAPbBrBrI_THTO_0 = 42.6589, sampling MAPbBrClI_THTO_0. Recommendation = MAPbBrBrI_THTO_0, Current Cost = 923.00, Rho = 0.277
