(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.0769, -0.0029]. Recommendation = [0.0, 0.1619, -0.2833], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.1587, 0.4601]. Recommendation = [0.0, -0.0769, -0.0029], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.5104, 0.9992]. Recommendation = [0.0, -0.0769, -0.0029], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.1193, 0.1398]. Recommendation = [0.0, -0.0769, -0.0029], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.2202, 0.3156]. Recommendation = [0.0, 0.0284, 0.0089], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.2954, -0.1193]. Recommendation = [0.0, 0.0354, 0.0567], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.0604, -0.2487]. Recommendation = [0.0, -0.0876, 0.1088], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.0244, 0.8277]. Recommendation = [0.0, -0.0876, 0.1088], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.5892, 1.4281]. Recommendation = [0.0, -0.0876, 0.1088], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.0236, 0.3222]. Recommendation = [0.0, -0.0876, 0.1088], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.2874, 0.0701]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.5150, 0.5496]. Recommendation = [0.0, -0.0876, 0.1088], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.3641, 0.3538]. Recommendation = [0.0, -0.0876, 0.1088], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.3021, 0.1311]. Recommendation = [0.0, -0.1564, 0.0315], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.9318, 1.0451]. Recommendation = [0.0, 0.0284, 0.0089], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.7552, 0.8145]. Recommendation = [0.0, 0.0284, 0.0089], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 1.0106, 1.3689]. Recommendation = [0.0, 0.0284, 0.0089], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.4099, 0.7464]. Recommendation = [0.0, 0.0284, 0.0089], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.0876, 0.1088]. Recommendation = [0.0, 0.0284, 0.0089], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.8037, 1.1865]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.0284, 0.0089]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 1.2250, 1.1292]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 1.0035, 0.7121]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.6831, 0.4126]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 1.0669, 0.9260]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.6434, 0.6486]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.4958, 0.0912]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.6156, 0.2535]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.9267, 0.9019]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.9373, 0.5280]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.8549, 0.7175]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 1.2646, 1.4691]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.4875, 0.0502]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.3983, -0.0278]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 0.4687, 0.3866]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, 1.3716, 1.3007]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.4065, -0.1149]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.4127, 0.2659]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.1927, 0.5747]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.1836, -0.1530]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.1619, -0.2833] = 446.0162, sampling [1.0, -0.3486, -0.4853]. Recommendation = [0.0, -0.0748, -0.0897], Current Cost = 5045.00, Rho = 1.000
