(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.1211, -1.2081]. Recommendation = [0.0, 0.4108, -1.4063], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2140, -1.1602]. Recommendation = [0.0, -0.1211, -1.2081], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2670, -1.2887]. Recommendation = [0.0, -0.2140, -1.1602], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.1284, -1.0593]. Recommendation = [0.0, -0.2140, -1.1602], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2111, -0.8890]. Recommendation = [0.0, -0.1284, -1.0593], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2386, -0.7978]. Recommendation = [0.0, -0.2111, -0.8890], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.3807, -0.7815]. Recommendation = [0.0, -0.2386, -0.7978], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.3528, -0.7084]. Recommendation = [0.0, -0.2386, -0.7978], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2458, -0.5740]. Recommendation = [0.0, -0.3528, -0.7084], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2625, -0.4874]. Recommendation = [0.0, -0.2458, -0.5740], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.4103, -0.5324]. Recommendation = [0.0, -0.2625, -0.4874], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2713, -0.3016]. Recommendation = [0.0, -0.2625, -0.4874], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.3646, -0.2935]. Recommendation = [0.0, -0.2713, -0.3016], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2307, -0.2295]. Recommendation = [0.0, -0.2713, -0.3016], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.1648, -0.2628]. Recommendation = [0.0, -0.2307, -0.2295], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2488, -0.2181]. Recommendation = [0.0, -0.2307, -0.2295], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.3740, -0.1502]. Recommendation = [0.0, -0.2488, -0.2181], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.3455, -0.0828]. Recommendation = [0.0, -0.2488, -0.2181], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2540, -0.0033]. Recommendation = [0.0, -0.3455, -0.0828], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.1248, -0.0668]. Recommendation = [0.0, -0.2540, -0.0033], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.4108, -1.4063] = 207.8840, sampling [1.0, -0.2869, 0.0330]. Recommendation = [0.0, -0.1248, -0.0668], Current Cost = 5025.00, Rho = 1.000
