(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.0773, -0.1588]. Recommendation = [0.0, -0.0387, 0.4472], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.3432, 0.0138]. Recommendation = [0.0, 0.0773, -0.1588], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.5582, 0.6007]. Recommendation = [0.0, -0.2147, 0.0476], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.2670, 1.0707]. Recommendation = [0.0, -0.1614, 0.1358], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.3068, -0.5164]. Recommendation = [0.0, -0.1614, 0.1358], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.8029, 0.0911]. Recommendation = [0.0, -0.2147, 0.0476], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.4580, 0.3265]. Recommendation = [0.0, -0.2772, 0.1458], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.1427, -0.5902]. Recommendation = [0.0, -0.2772, 0.1458], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.3712, 0.1914]. Recommendation = [0.0, -0.1596, -0.0946], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.2661, 0.8293]. Recommendation = [0.0, -0.0645, 0.0700], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.3947, -0.3172]. Recommendation = [0.0, -0.0645, 0.0700], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.0002, 0.1685]. Recommendation = [0.0, 0.0616, 0.0296], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.6861, -0.2307]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.2199, -0.2241]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.2532, 0.7042]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -0.8179, 1.0477]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, -1.0055, 0.5755]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.1568, 1.5338]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.0387, 0.4472] = 435.3584, sampling [1.0, 0.5524, 0.4663]. Recommendation = [0.0, 0.2128, 0.1135], Current Cost = 5023.00, Rho = 1.000
