(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.7296, -0.0010]. Recommendation = [0.0, -0.8885, 0.0990], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.5889, 0.0519]. Recommendation = [0.0, -0.7296, -0.0010], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.5063, -0.0357]. Recommendation = [0.0, -0.5889, 0.0519], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.3349, 0.1568]. Recommendation = [0.0, -0.5063, -0.0357], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.4098, 0.2481]. Recommendation = [0.0, -0.3349, 0.1568], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.3580, -0.0361]. Recommendation = [0.0, -0.3349, 0.1568], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.2290, 0.0618]. Recommendation = [0.0, -0.3349, 0.1568], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.2501, 0.1466]. Recommendation = [0.0, -0.2290, 0.0618], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.1244, 0.2421]. Recommendation = [0.0, -0.2290, 0.0618], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.3612, 0.3021]. Recommendation = [0.0, -0.2290, 0.0618], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.6070, 0.2461]. Recommendation = [0.0, -0.2762, 0.1526], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.8885, 0.0990] = 405.0741, sampling [1.0, -0.1755, 0.5308]. Recommendation = [0.0, -0.2290, 0.0618], Current Cost = 5016.00, Rho = 1.000
