(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.7958, 0.4058]. Recommendation = [0.0, -0.3657, 0.3090], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.6609, 0.6729]. Recommendation = [0.0, -0.3657, 0.3090], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.0790, 0.1865]. Recommendation = [0.0, -0.7108, 0.5152], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.5414, 0.4361]. Recommendation = [0.0, -0.7108, 0.5152], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.8954, 0.5901]. Recommendation = [0.0, -0.7108, 0.5152], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.5618, 0.2088]. Recommendation = [0.0, -0.7108, 0.5152], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.8747, 0.8745]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.4107, 0.7552]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.7024, 1.0736]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.7389, 0.8009]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.4185, 0.5406]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.7108, 0.5152]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.6162, -0.0796]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.7650, 0.0918]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.4436, 0.0858]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.0035, 1.1310]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.0845, 0.9537]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.9086, 0.7180]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.0724, 0.5996]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.6355, 0.4027]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.5691, 0.5482]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.8462, 1.3802]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.3697, -0.1279]. Recommendation = [0.0, -0.5186, 0.1567], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.1995, 0.0940]. Recommendation = [0.0, -0.5547, 0.3631], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.1428, 0.3806]. Recommendation = [0.0, -0.2948, 0.0595], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.2882, 0.2127]. Recommendation = [0.0, -0.2882, 0.2127], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.6820, -0.4653]. Recommendation = [0.0, -0.2948, 0.0595], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.2635, 0.4516]. Recommendation = [0.0, -0.2948, 0.0595], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.2948, 0.0595]. Recommendation = [0.0, -0.2948, 0.0595], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.4553, 1.2219]. Recommendation = [0.0, -0.1995, 0.0940], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.2127, -0.2765]. Recommendation = [0.0, -0.1995, 0.0940], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.1202, -0.0999]. Recommendation = [0.0, -0.1995, 0.0940], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.0221, 0.1172]. Recommendation = [0.0, -0.2365, -0.1554], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.0927, 0.2666]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.3254, -0.4815]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.1141, 0.6939]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.3301, -0.2461]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.8205, 1.1598]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.2275, 1.0236]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.1697, -0.0110]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.2365, -0.1554]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.0657, 1.3548]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.0912, 1.1786]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.5910, 0.9638]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.8392, -0.1884]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.8491, 0.2461]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.4072, 0.5686]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.0346, -0.1113]. Recommendation = [0.0, -0.1697, -0.0110], Current Cost = 5052.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.0547, -0.3475]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5053.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.0876, -0.1785]. Recommendation = [0.0, -0.0876, -0.1785], Current Cost = 5054.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.1466, 0.3536]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5055.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.0977, 0.2225]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5056.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.0324, 0.3999]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5057.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.0729, 0.0653]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5058.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.0509, -0.6631]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5059.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.4205, -0.8117]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5060.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.1760, -0.0504]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5061.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.2527, 0.1952]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5062.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.2133, -0.2390]. Recommendation = [0.0, -0.1313, -0.0208], Current Cost = 5063.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.1213, 0.5387]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5064.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.0587, -0.5053]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5065.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.4381, 0.0053]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5066.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.2734, 1.2526]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5067.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.9130, 0.4629]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5068.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.0382, 0.9728]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5069.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.3629, 0.0012]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5070.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.3548, 0.3644]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5071.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.4206, 0.1604]. Recommendation = [0.0, 0.0783, -0.0876], Current Cost = 5072.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.3170, 0.5446]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5073.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, 0.2309, 0.4650]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5074.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.9997, 1.2164]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5075.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.6000, 0.7675]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5076.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -1.1329, 1.5128]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5077.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.6859, 1.8362]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5078.00, Rho = 1.000
(iter 10) [0.0, -0.3657, 0.3090] = 451.3632, sampling [1.0, -0.5547, 0.3631]. Recommendation = [0.0, 0.4206, 0.1604], Current Cost = 5079.00, Rho = 1.000
