(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.1382, -0.1112]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5005.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.2189, -0.0713]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5006.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.9138, 1.1071]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5007.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.0064, -0.3001]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5008.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.4489, 0.4190]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5009.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.1158, -0.1862]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5010.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.9582, 1.3918]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5011.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.3145, -0.2924]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5012.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.7807, 0.7900]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5013.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.0718, 0.3185]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5014.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -1.2582, 1.3709]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5015.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.5691, -0.0242]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5016.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.1870, -0.2602]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5017.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -1.0867, 1.5506]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5018.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -1.1182, 0.9330]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5019.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.3426, 0.1456]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5020.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.3602, -0.3491]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5021.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.0878, -0.4361]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5022.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.8586, 0.4136]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5023.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -1.1110, 1.2120]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5024.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.1241, -0.2533]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5025.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.8429, 1.5954]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5026.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.5848, 1.0359]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5027.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.2254, 0.0995]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5028.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.0504, -0.4015]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5029.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.0695, -0.0295]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5030.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.5102, -0.1952]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5031.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -0.2937, -0.1216]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5032.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, 0.4130, -0.4955]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5033.00, Rho = 0.214
(iter 10) [0.0, -0.1494, -0.3244] = 442.9587, sampling [1.0, -1.0238, 0.7779]. Recommendation = [0.0, -0.1494, -0.3244], Current Cost = 5034.00, Rho = 0.214
