(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.2353, 0.8725]. Recommendation = [0.0, -0.0374, 0.6615], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, -0.3698, 0.6669]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.8671, 1.5200]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, -0.0036, 0.1765]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, -0.5168, 1.1665]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.3971, 0.3025]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.2268, 0.0209]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 1.1755, 0.9420]. Recommendation = [0.0, 0.1981, 0.2954], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 1.4508, 1.4074]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.7741, 0.6859]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.1112, 0.4304]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.8312, 0.9991]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.6455, 0.4259]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.5040, 0.5744]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, 0.9521, 0.6060]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 1.3683, 1.8184] = 455.8752, sampling [1.0, -0.0406, -0.0561]. Recommendation = [0.0, 1.3683, 1.8184], Current Cost = 5020.00, Rho = 1.000
