(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.4285, 0.5149]. Recommendation = [0.0, 0.0623, 0.3881], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.0452, 0.7680]. Recommendation = [0.0, -0.4285, 0.5149], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.1564, 0.4772]. Recommendation = [0.0, -0.4285, 0.5149], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.5070, 0.2633]. Recommendation = [0.0, -0.4285, 0.5149], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.7372, 0.5064]. Recommendation = [0.0, -0.5070, 0.2633], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.4811, 0.9416]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.2036, 1.2538]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.3460, 0.7256]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.7005, 0.2586]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.2810, 0.1577]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.6576, 0.7513]. Recommendation = [0.0, -0.3759, 0.3402], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.9354, 0.3872]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.3759, 0.3402]. Recommendation = [0.0, -0.3759, 0.3402], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.9377, 0.7183]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5018.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.8591, 0.9728]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5019.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.4027, 1.3375]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5020.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.8045, 0.7884]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5021.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.3538, 0.6493]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5022.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.2303, 0.8970]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5023.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.5989, 0.5268]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5024.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.0243, 0.1828]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5025.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.6262, 0.0207]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5026.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.6580, 1.1936]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5027.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.6034, 0.8594]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5028.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.3285, 0.4178]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5029.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.7882, 0.6235]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5030.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.4904, 0.1512]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5031.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.1013, 0.4958]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5032.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.4612, 1.0088]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5033.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.6494, 0.4676]. Recommendation = [0.0, -0.5774, 0.3375], Current Cost = 5034.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.5002, 0.6111]. Recommendation = [0.0, 0.6494, 0.4676], Current Cost = 5035.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.8912, 0.8242]. Recommendation = [0.0, 0.6494, 0.4676], Current Cost = 5036.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.7288, 0.6840]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5037.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.9753, 1.1649]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5038.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.8286, 0.9514]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5039.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.8177, 1.3796]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5040.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.0579, 0.9116]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5041.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.0147, 0.6387]. Recommendation = [0.0, 0.9064, 0.9161], Current Cost = 5042.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.2462, 1.1515]. Recommendation = [0.0, 0.9064, 0.9161], Current Cost = 5043.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.1207, 1.3159]. Recommendation = [0.0, 1.0429, 1.0288], Current Cost = 5044.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.3409, 1.5061]. Recommendation = [0.0, 1.1018, 1.2343], Current Cost = 5045.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.4418, 1.2694]. Recommendation = [0.0, 1.1018, 1.2343], Current Cost = 5046.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 1.2067, 1.7041]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5047.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.8154, 0.4812]. Recommendation = [0.0, 0.8912, 0.8242], Current Cost = 5048.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.5887, 0.2874]. Recommendation = [0.0, 0.7513, 0.6644], Current Cost = 5049.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.1907, -0.0188]. Recommendation = [0.0, 0.7513, 0.6644], Current Cost = 5050.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, -0.1340, -0.0511]. Recommendation = [0.0, 0.7513, 0.6644], Current Cost = 5051.00, Rho = 1.000
(iter 10) [0.0, 0.0623, 0.3881] = 440.6593, sampling [1.0, 0.2552, 0.3269]. Recommendation = [0.0, -0.1960, 0.1407], Current Cost = 5052.00, Rho = 1.000
