(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, 0.0484, -0.1760]. Recommendation = [0.0, 0.5931, -0.4587], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.0004, 0.2622]. Recommendation = [0.0, 0.0484, -0.1760], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.2558, 0.0485]. Recommendation = [0.0, 0.0484, -0.1760], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.3236, 0.4028]. Recommendation = [0.0, -0.0953, -0.0158], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.3013, -0.2893]. Recommendation = [0.0, -0.2050, 0.1297], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, 0.1673, -0.4088]. Recommendation = [0.0, -0.0953, -0.0158], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.5629, 0.0524]. Recommendation = [0.0, -0.0953, -0.0158], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.0953, -0.0158]. Recommendation = [0.0, -0.2050, 0.1297], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.1258, 0.6610]. Recommendation = [0.0, -0.2050, 0.1297], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, 0.1580, 0.0448]. Recommendation = [0.0, -0.2050, 0.1297], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.4448, 0.2030]. Recommendation = [0.0, 0.0665, -0.0197], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.6634, 0.5324]. Recommendation = [0.0, -0.2828, 0.1488], Current Cost = 5016.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.6282, 0.3462]. Recommendation = [0.0, 0.0665, -0.0197], Current Cost = 5017.00, Rho = 1.000
(iter 10) [0.0, 0.5931, -0.4587] = 390.4527, sampling [1.0, -0.4081, 0.5957]. Recommendation = [0.0, 0.0665, -0.0197], Current Cost = 5018.00, Rho = 1.000
