(iter 5) [0.0, -1.1044, 0.6258] = 416.5946, sampling [0.0, -1.1747, 1.5327]. Recommendation = [0.0, -1.1044, 0.6258], Current Cost = 5000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, -1.9359, 1.1662]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 6000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, -0.5348, 1.0664]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 7000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, -0.6210, 1.9650]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 8000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, -0.2567, 0.3652]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 9000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, -0.2028, -0.3100]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 10000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, 0.3209, 0.6501]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 11000.00, Rho = -1.230
(iter 5) [0.0, -1.1747, 1.5327] = 449.2385, sampling [0.0, 0.1358, 0.0268]. Recommendation = [0.0, -1.1747, 1.5327], Current Cost = 12000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.0258, 1.0914]. Recommendation = [0.0, -0.0221, 0.0471], Current Cost = 13000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.6984, 0.4410]. Recommendation = [0.0, -0.0221, 0.0471], Current Cost = 14000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.4647, -1.0561]. Recommendation = [0.0, -0.0221, 0.0471], Current Cost = 15000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.4462, 0.0230]. Recommendation = [0.0, -0.0221, 0.0471], Current Cost = 16000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.8078, -1.9773]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 17000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.0443, -0.6588]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 18000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.9773, 1.1976]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 19000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.3266, 0.6669]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 20000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.9976, 1.9560]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 21000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.8793, 0.8745]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 22000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.7167, 0.3442]. Recommendation = [0.0, -0.0403, 0.0483], Current Cost = 23000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.4261, -0.1528]. Recommendation = [0.0, -0.0733, 0.0848], Current Cost = 24000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.2322, 0.3330]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 25000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.6163, 1.1208]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 26000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.3050, 1.1639]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 27000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.1568, 0.6009]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 28000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.8735, 0.8340]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 29000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.0507, 1.4411]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 30000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.6135, 0.6435]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 31000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.1551, -0.2589]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 32000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.7519, 1.4508]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 33000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.5040, -0.4922]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 34000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.7473, 0.0986]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 35000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.9039, 0.9830]. Recommendation = [0.0, -0.0151, -0.0400], Current Cost = 36000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.9407, 1.1923]. Recommendation = [0.0, 0.6061, 0.4337], Current Cost = 37000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.1281, -0.0443]. Recommendation = [0.0, 0.6061, 0.4337], Current Cost = 38000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.5192, 0.1475]. Recommendation = [0.0, 0.6061, 0.4337], Current Cost = 39000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.2259, 1.9958]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 40000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.0049, 0.5318]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 41000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.1942, 1.8842]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 42000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.6755, 0.7256]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 43000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.3693, -0.5364]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 44000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.7914, 1.5757]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 45000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.6165, 1.8974]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 46000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.5160, 0.2871]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 47000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.0649, 1.4904]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 48000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.2196, -0.7252]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 49000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.8242, 0.5748]. Recommendation = [0.0, 0.4398, 0.2789], Current Cost = 50000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.3392, 1.5217]. Recommendation = [0.0, 0.6061, 0.4337], Current Cost = 51000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.9826, 0.3723]. Recommendation = [0.0, 0.6061, 0.4337], Current Cost = 52000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.4649, 0.3901]. Recommendation = [0.0, 0.6061, 0.4337], Current Cost = 53000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.0959, 0.1641]. Recommendation = [0.0, 0.3496, 0.1890], Current Cost = 54000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.9115, 0.0553]. Recommendation = [0.0, 0.3496, 0.1890], Current Cost = 55000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.5705, -0.1958]. Recommendation = [0.0, 0.4984, 0.2691], Current Cost = 56000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.3430, 1.7290]. Recommendation = [0.0, 0.4984, 0.2691], Current Cost = 57000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.0130, 1.8047]. Recommendation = [0.0, 0.4984, 0.2691], Current Cost = 58000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.2138, 1.0774]. Recommendation = [0.0, 0.4984, 0.2691], Current Cost = 59000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.3849, 0.9747]. Recommendation = [0.0, 0.4984, 0.2691], Current Cost = 60000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.1849, 0.9905]. Recommendation = [0.0, 0.4984, 0.2691], Current Cost = 61000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.6859, -0.1580]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 62000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.0970, 1.7233]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 63000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.7860, 1.0227]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 64000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.0215, -0.4411]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 65000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -0.0304, 0.8258]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 66000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, -1.9169, 1.9511]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 67000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 1.0319, 0.3876]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 68000.00, Rho = -1.230
(iter 12) [0.0, 0.1358, 0.0268] = 455.5461, sampling [0.0, 0.0949, -0.9291]. Recommendation = [0.0, 1.0441, 1.0955], Current Cost = 69000.00, Rho = -1.230
