(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.2257, 0.2938]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5005.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.6549, 0.6667]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5006.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.0718, -0.0336]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5007.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, 0.1974, 0.1739]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5008.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.5443, 0.1563]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5009.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.1326, 0.6548]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5010.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -1.0476, 0.5768]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5011.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, 0.2316, -0.1245]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5012.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.0902, 0.1203]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5013.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.9181, 1.0389]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5014.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, -0.3232, 0.0039]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5015.00, Rho = 1.000
(iter 10) [0.0, 0.3641, -0.0969] = 450.6301, sampling [1.0, 0.3559, 0.0635]. Recommendation = [0.0, 0.3641, -0.0969], Current Cost = 5016.00, Rho = 1.000
